Sample,∆14C  (‰)
1_2023_oPOM,-57.09
5_2023_oPOM,-49.94
11_2023_oPOM,-45.1
15_2023_oPOM,-33.48
17_2023_oPOM,-24.67
21_2023_oPOM,-27.31
1_2025_oPOM,-54.54
2_2025_oPOM,-72.33
3_2025_oPOM,-46.49
4_2025_oPOM,-66.2
5_2025_oPOM,-59.73
7_2025_oPOM,-52.78
8_2025_oPOM,-48.23
9_2025_oPOM,-52.85
11_2025_oPOM,-39.03
12_2025_oPOM,-84.21
13_2025_oPOM,-35.43
14_2025_oPOM,-25.65
15_2025_oPOM,-48.34
16_2025_oPOM,-30.8
18_2025_oPOM,-37.67
19_2025_oPOM,-40.88
20_2025_oPOM,-43.56
21_2025_oPOM,-33.93
1_2026_oPOM,-45.53
2_2026_oPOM,-71.33
3_2026_oPOM,-61.15
4_2026_oPOM,-53.69
5_2026_oPOM,-78.91
7_2026_oPOM,-48.8
8_2026_oPOM,-43.55
9_2026_oPOM,-34.16
11_2026_oPOM,-39.49
12_2026_oPOM,-56.45
13_2026_oPOM,-17.52
14_2026_oPOM,-14.22
15_2026_oPOM,-40.15
16_2026_oPOM,-24.17
18_2026_oPOM,-25.32
19_2026_oPOM,-37.37
20_2026_oPOM,-32.21
21_2026_oPOM,-24.86
6_2025_oPOM,-24.13
10_2025_oPOM,-68.5
17_2025_oPOM,-4.04
6_2026_oPOM,-25.66
10_2026_oPOM,-53.12
17_2026_oPOM,-9.11
1_2023_fPOM,-63.87
5_2025_fPOM,-59.86
11_2023_fPOM,
15_2023_fPOM,-110.65
17_2023_fPOM,-89.4
21_2023_fPOM,-117.95
1_2025_fPOM,-58.78
2_2025_fPOM,-64.73
3_2025_fPOM,-30.12
4_2025_fPOM,-66.33
7_2025_fPOM,-102.6
8_2025_fPOM,-60.87
9_2025_fPOM,-61.7
11_2025_fPOM,-73.96
12_2025_fPOM,-58.5
13_2025_fPOM,-118.09
14_2025_fPOM,-102.11
15_2025_fPOM,-291.74
16_2025_fPOM,-45.05
18_2025_fPOM,-70.98
19_2025_fPOM,-108.01
20_2025_fPOM,-44.58
21_2025_fPOM,-162.76
1_2026_fPOM,-66.94
2_2026_fPOM,-82.27
3_2026_fPOM,-42.23
4_2026_fPOM,-58.17
