Plot;Treatment;Basalt_type_exp;Dose_response_exp.;Sampled_on;Daysafterstart;EC;unit;EC_µS_cm;pH;DOC_raw;DOC;DIC_raw;DIC_minus_blanks;DIC;DTC_raw;DTC;Unit;measured_pH_EC_on;measured_by;Notes;Alkalinity_mg_l_CaCO3;Alkalinity_meq_l;Alk_meq_l_corr;NH4-N_mgN_l;NO2-N_mgN_l;NO3-N_mgN_l;PO4-P_mgP_l;SO4_mgSO4_l;Cl_mgCl_l;Ca_mg_l;Fe_mg_l;K_mg_l;Mg_mg_l;Na_mg_l;Ni_mg_l;P_mg_l;Al_mg_l;Si_mg_l
1;Control;Y;Y;25/04/2023;-28;201.2;µS/cm;201.20;7.22;7.095;5.899;-0.685;-0.685;0;6.41;5.214;mg/l;6/mei/23;Emma/Jef;;21;0.43;0.43;;;;;;;;;;;;;;;
2;Eifelgold_50;Y;N;25/04/2023;-28;219.7;µS/cm;219.70;7.05;28.32;27.124;4.15;4.15;4.15;32.47;31.274;mg/l;6/mei/23;Emma/Jef;;20;0.41;0.41;0.26;0.0013;0.739;0.438;15.0;1.5;10.4;0.14;7.45;2.65;1.76;0.005;;0.355;
3;Huhnerberg_02;N;Y;25/04/2023;-28;;µS/cm;;;31.912;30.716;8.265;8.265;8.265;40.177;38.981;mg/l;6/mei/23;Emma/Jef;;;;;;;;;;;;;;;;;;;
4;Bolsdorfer_50;Y;N;25/04/2023;-28;339.5;µS/cm;339.50;7.09;27.192;25.996;2.602;2.602;2.602;29.793;28.597;mg/l;6/mei/23;Emma/Jef;;26;0.52;0.52;0.95;0.0001;0.957;1.181;28.9;1.5;;;;;;;;;
5;Huhnerberg_04;N;Y;25/04/2023;-28;154.4;µS/cm;154.40;6.84;19.496;18.3;2.785;2.785;2.785;22.281;21.085;mg/l;6/mei/23;Emma/Jef;;13;0.26;0.26;0.13;0.0028;0.387;0.494;7.2;1.5;7.5;0.11;2.24;2.47;1.09;0.003;;0.285;
6;Lime_02;Y;N;25/04/2023;-28;155.6;µS/cm;155.60;6.85;26.608;25.412;3.143;3.143;3.143;29.751;28.555;mg/l;6/mei/23;Emma/Jef;;10;0.19;0.19;0.10;0.0011;0.506;0.334;9.5;1.5;7.7;0.09;2.05;2.31;0.92;0.003;;0.220;
7;Huhnerberg_08;N;Y;25/04/2023;-28;160.8;µS/cm;160.80;6.99;36.695;35.499;7.416;7.416;7.416;44.111;42.915;mg/l;6/mei/23;Emma/Jef;;10;0.21;0.21;0.11;0.0004;0.309;0.176;9.7;1.5;8.3;0.13;1.97;2.60;0.99;0.002;;0.490;
8;Huhnerberg_12;N;Y;25/04/2023;-28;193.5;µS/cm;193.50;6.81;;;;;;;;;6/mei/23;Emma/Jef;;20;0.41;0.41;0.26;0.0012;0.364;0.886;9.3;1.5;7.9;0.18;6.23;3.18;1.67;0.002;;0.283;
9;Huhnerberg_50;Y;Y;25/04/2023;-28;150.1;µS/cm;150.10;6.89;;;;;;;;;6/mei/23;Emma/Jef;;9;0.18;0.18;0.13;0.0075;0.548;0.804;10.3;1.5;7.2;0.10;2.93;2.58;0.77;0.001;;0.227;
10;Lime_02;Y;N;25/04/2023;-28;143.4;µS/cm;143.40;6.61;;;;;;;;;6/mei/23;Emma/Jef;;10;0.20;0.20;0.05;0.0032;0.421;0.203;10.9;1.5;7.4;0.08;1.46;2.49;0.53;0.001;;0.259;
11;Control;Y;Y;25/04/2023;-28;207.8;µS/cm;207.80;7.14;;;;;;;;;6/mei/23;Emma/Jef;;23;0.47;0.47;0.24;0.0013;0.477;0.430;7.0;1.5;6.4;0.22;14.72;2.07;1.73;0.002;;0.478;
12;Huhnerberg_20;N;Y;25/04/2023;-28;167;µS/cm;167.00;6.90;;;;;;;;;6/mei/23;Emma/Jef;;11;0.22;0.22;0.09;0.0001;0.576;0.383;15.7;1.5;8.1;0.06;2.14;3.06;0.95;0.001;;0.157;
13;Eifelgold_50;Y;N;25/04/2023;-28;129.2;µS/cm;129.20;6.72;;;;;;;;;6/mei/23;Emma/Jef;;3;0.06;0.06;0.07;0.0001;0.460;0.405;7.5;1.5;6.0;0.07;1.77;1.98;0.65;0.002;;0.188;
14;Huhnerberg_50;Y;Y;25/04/2023;-28;223.8;µS/cm;223.80;6.93;;;;;;;;;6/mei/23;Emma/Jef;;32;0.63;0.63;0.12;0.0019;0.258;0.605;8.2;1.5;13.3;0.12;5.40;4.04;1.25;0.004;;0.168;
15;Bolsdorfer_50;Y;N;25/04/2023;-28;205;µS/cm;205.00;6.92;;;;;;;;;6/mei/23;Emma/Jef;;17;0.33;0.33;0.03;0.0013;0.258;0.351;18.5;1.5;7.2;0.08;3.26;2.19;1.02;0.002;;0.146;
16;Huhnerberg_30;N;Y;25/04/2023;-28;207.2;µS/cm;207.20;7.24;;;;;;;;;6/mei/23;Emma/Jef;;17;0.33;0.33;0.15;0.0012;0.574;;;;10.2;0.21;5.40;2.63;1.77;0.005;;0.136;
17;Lime_02;Y;N;25/04/2023;-28;156.3;µS/cm;156.30;6.74;;;;;;;;;6/mei/23;Emma/Jef;;17;0.34;0.34;0.12;0.0001;0.239;0.580;9.0;1.5;8.6;0.13;2.06;2.41;0.63;0.004;;0.183;
18;Control;Y;Y;25/04/2023;-28;182.3;µS/cm;182.30;7.13;;;;;;;;;6/mei/23;Emma/Jef;;16;0.32;0.32;0.02;0.0001;0.359;0.706;5.9;1.5;6.6;0.07;0.64;2.39;0.24;0.001;;0.090;
19;Huhnerberg_50;Y;Y;25/04/2023;-28;143.3;µS/cm;143.30;6.92;;;;;;;;;6/mei/23;Emma/Jef;;11;0.22;0.22;0.12;0.0008;0.422;0.520;9.3;3.0;7.6;0.11;2.04;2.43;0.49;0.003;;0.165;
20;Bolsdorfer_50;Y;N;25/04/2023;-28;123.6;µS/cm;123.60;6.74;;;;;;;;;6/mei/23;Emma/Jef;;11;0.23;0.23;0.04;0.0023;0.435;0.437;5.3;3.0;6.5;0.10;0.90;1.91;0.53;0.002;;0.144;
21;Eifelgold_50;Y;N;25/04/2023;-28;150.5;µS/cm;150.50;7.02;;;;;;;;;6/mei/23;Emma/Jef;;14;0.28;0.28;;;;0.418;10.5;1.5;9.1;0.09;0.85;2.92;0.47;0.003;;0.143;
1;Control;Y;Y;20/06/2023;28;3.158;mS/cm;3158.00;6.51;51.307;47.95;-0.147;2.579;2.579;51.16;50.529;mg/l;5/jul/23;Lien;;3;0.06;0.06;72.85;0.0007;325.53;0.01;69;108;265.1;0.038;93.1;86.3;23.6;0.007;0.33;0.128;5.0
2;Eifelgold_50;Y;N;20/06/2023;28;1.735;mS/cm;1735.00;7.18;44.962;41.605;7.432;10.158;10.158;52.394;51.763;mg/l;5/jul/23;Lien;;43;0.87;0.87;5.93;0.0007;103.91;1.01;82;212;154.6;0.052;62.8;55.3;41.5;0.005;1.50;0.135;8.6
3;Huhnerberg_02;N;Y;20/06/2023;28;6.149;mS/cm;6149.00;6.96;79.48;76.123;1.769;4.495;4.495;81.249;80.618;mg/l;5/jul/23;Lien;;10;0.20;0.20;71.88;0.0049;423.16;0.19;40;733;270.8;0.102;634.5;86.7;148.6;0.008;0.47;0.256;6.1
4;Bolsdorfer_50;Y;N;20/06/2023;28;632.4;µS/cm;632.40;7.46;29.5;26.143;1.813;4.539;4.539;31.313;30.682;mg/l;5/jul/23;Lien;;25;0.50;0.50;0.45;0.0005;31.90;0.42;43;70;36.6;0.073;80.1;13.5;22.2;0.004;0.55;0.159;5.2
5;Huhnerberg_04;N;Y;20/06/2023;28;2.831;mS/cm;2831.00;6.80;32.884;29.527;-1.831;0.895;0.895;31.053;30.422;mg/l;5/jul/23;Lien;;3;0.06;0.06;;;;;;;273.5;0.015;85.8;80.7;23.7;0.008;0.22;0.085;7.2
6;Lime_02;Y;N;20/06/2023;28;2.951;mS/cm;2951.00;7.06;47.904;44.547;2.932;5.658;5.658;50.837;50.206;mg/l;5/jul/23;Lien;;20;0.40;0.40;45.23;0.0010;307.86;0.18;33;106;290.0;0.042;98.3;77.3;24.7;0.007;0.24;0.165;5.4
7;Huhnerberg_08;N;Y;20/06/2023;28;492;µS/cm;492.00;7.28;44.598;41.241;5.985;8.711;8.711;50.583;49.952;mg/l;5/jul/23;Lien;;55;1.11;1.11;2.27;0.0008;29.19;0.16;41;18;33.0;0.149;46.8;13.0;10.6;0.009;0.32;0.498;5.6
8;Huhnerberg_12;N;Y;20/06/2023;28;774.3;µS/cm;774.30;7.38;60.169;56.812;3.1;5.826;5.826;63.269;62.638;mg/l;5/jul/23;Lien;;43;0.85;0.85;6.36;0.0005;51.81;0.43;52;40;56.5;0.151;66.0;22.3;16.6;0.008;0.66;0.451;7.7
9;Huhnerberg_50;Y;Y;20/06/2023;28;446.8;µS/cm;446.80;7.58;25.764;22.407;5.903;8.629;8.629;31.666;31.035;mg/l;5/jul/23;Lien;;45;0.90;0.90;0.83;0.0013;28.53;0.64;27;20;36.1;0.062;22.2;14.4;10.1;0.007;0.77;0.180;4.3
10;Lime_02;Y;N;20/06/2023;28;289.4;µS/cm;289.40;7.69;26.434;23.077;5.848;8.574;8.574;32.282;31.651;mg/l;5/jul/23;Lien;;45;0.89;0.89;0.71;0.0003;15.51;0.36;19;9;26.2;0.055;17.2;8.6;5.6;0.004;0.33;0.192;4.0
11;Control;Y;Y;20/06/2023;28;754.4;µS/cm;754.40;7.16;28.411;25.054;1.502;4.228;4.228;29.912;29.281;mg/l;5/jul/23;Lien;;25;0.50;0.50;5.34;0.0005;59.71;0.13;31;47;70.4;0.041;27.1;23.4;9.5;0.004;0.21;0.176;4.6
12;Huhnerberg_20;N;Y;20/06/2023;28;1.195;mS/cm;1195.00;6.84;23.564;20.207;-0.907;1.819;1.819;22.657;22.026;mg/l;5/jul/23;Lien;;3;0.06;0.06;6.93;0.0010;129.09;0.18;27;24;105.7;0.032;35.0;40.6;11.8;0.006;0.25;0.150;4.4
13;Eifelgold_50;Y;N;20/06/2023;28;441.3;µS/cm;441.30;7.28;65.421;62.064;4.101;6.827;6.827;69.521;68.89;mg/l;5/jul/23;Lien;;45;0.89;0.89;1.31;0.0007;16.92;0.45;45;32;31.8;0.230;31.0;11.9;15.3;0.008;1.09;0.471;8.7
14;Huhnerberg_50;Y;Y;20/06/2023;28;1.468;mS/cm;1468.00;7.75;44.078;40.721;10.345;13.071;13.071;54.422;53.791;mg/l;5/jul/23;Lien;;65;1.30;1.30;5.41;0.0007;141.14;0.42;51;35;121.3;0.080;88.6;50.4;26.9;0.013;0.61;0.175;8.5
15;Bolsdorfer_50;Y;N;20/06/2023;28;496;µS/cm;496.00;7.40;27.702;24.345;0.343;3.069;3.069;28.045;27.414;mg/l;5/jul/23;Lien;;19;0.37;0.37;1.45;0.0010;41.29;0.44;25;19;43.5;0.072;26.6;14.3;9.1;0.004;0.57;0.265;6.0
16;Huhnerberg_30;N;Y;20/06/2023;28;246.1;µS/cm;246.10;7.66;28.545;25.188;7.044;9.77;9.77;35.589;34.958;mg/l;5/jul/23;Lien;;51;1.01;1.01;0.50;0.0001;7.05;0.94;26;8;21.4;0.111;15.4;7.0;7.9;0.009;1.19;0.158;6.2
17;Lime_02;Y;N;20/06/2023;28;1.558;mS/cm;1558.00;7.20;;;;;;;;;5/jul/23;Lien;;25;0.49;0.49;;;;;;;108.2;0.092;82.4;38.1;11.5;0.010;1.79;0.086;7.4
18;Control;Y;Y;20/06/2023;28;2.207;mS/cm;2207.00;6.74;60.554;57.197;0.03;2.756;2.756;60.584;59.953;mg/l;5/jul/23;Lien;;12;0.23;0.23;69.14;0.0005;232.18;0.96;43;38;151.1;0.115;101.3;57.1;10.9;0.009;2.00;0.220;5.6
