Sample,H+ (cmolg kg-1),CALCIUM (cmolg kg-1),KALIUM (cmolg kg-1),MAGNESIUM (cmolg kg-1),NATRIUM (cmolg kg-1),Aluminium (cmolg kg-1),Ijzer (cmolg kg-1),Mangaan (cmolg kg-1),CEC (cmolg kg-1),Basesaturation (%)
1,1.307207596,3.120334463,0.154310683,0.660739137,0.022894891,0.021634562,0.005022527,0.01052459,5.302668449,0.746469294
2,1.455999502,4.978622862,0.198420549,1.066420474,0.045856407,0.024014729,0.005059709,0.01027581,7.784670041,0.807910966
3,1.42770412,4.603797244,0.384052021,1.168079821,0.041471882,0.025653688,0.006058583,0.010065285,7.666882644,0.808333876
4,1.416970348,3.961729459,0.306916036,0.92608769,0.103781977,0.02399466,0.005135527,0.006661532,6.75127723,0.784816707
5,1.43076835,3.569906726,0.148321803,0.831264969,0.023792919,0.022217573,0.005575184,0.007486037,6.039333561,0.757250179
6,1.278749023,4.391904874,0.244677325,0.941629138,0.028683335,0.023793689,0.005839285,0.008890625,6.924167294,0.809757251
7,1.465662298,3.496459458,0.224677862,0.859913913,0.024479446,0.027886232,0.005672878,0.007464804,6.112216889,0.753495951
8,1.746380081,3.866115088,0.171858591,1.030502889,0.026311807,0.022492203,0.006209174,0.007208758,6.87707859,0.740836143
9,1.200939759,3.462785936,0.158451075,1.091926457,0.028170471,0.015113568,0.004169238,0.006252384,5.967808889,0.794484882
10,1.233211852,3.980811828,0.139716354,0.792840963,0.022586979,0.026439387,0.004873229,0.004766474,6.205247067,0.795448766
11,1.453765112,3.742157602,0.198425922,0.854595324,0.029142157,0.027794579,0.006028165,0.006525775,6.318434636,0.763531046
12,1.103612536,3.474038266,0.226818856,0.996911396,0.0306363,0.023425465,0.005209395,0.007931219,5.868583434,0.80571485
13,1.143884745,3.04621078,0.194833526,0.68901759,0.043457893,0.018484055,0.005631017,0.007040125,5.14855973,0.771773078
14,0.80573075,4.54526035,0.205337054,1.108180865,0.029134833,0.018911989,0.007816668,0.007899342,6.72827185,0.875100357
15,0.94891027,4.256331349,0.294660911,0.975138857,0.056332489,0.014227633,0.006562111,0.005111576,6.557275195,0.851338923
16,0.346351001,4.612582082,0.119831856,0.864579123,0.027314616,0.010585947,0.007258576,0.00478718,5.99329038,0.938434035
17,0.641910648,3.489537685,0.136440043,0.628700134,0.021693546,0.013211982,0.00672035,0.005626825,4.943841213,0.864989635
18,0.928897131,3.021529752,0.153911551,0.636877093,0.035630986,0.011465947,0.006627143,0.005615321,4.800554925,0.801563453
19,1.09279323,3.523637514,0.101355204,0.964550273,0.036536192,0.013058545,0.006785606,0.004777034,5.743493598,0.805446912
20,0.649538987,3.637333416,0.198825709,0.739063902,0.05811342,0.013602559,0.007745956,0.005628143,5.309852094,0.872592375
21,1.104049766,3.468494943,0.162716036,0.762825339,0.040436637,0.016100375,0.007664223,0.008824971,5.57111229,0.795976229
