Sample.name,Plot,Sample year,SOM_fraction,treatment,dose_resp_exp,Sample.year,C_total,N_total
1_2023_Bulk,1,2023,Bulk,Control,Y,2026,2.22,0.16
5_2023_Bulk,5,2023,Bulk,Control,Y,2026,2.33,0.17
11_2023_Bulk,11,2023,Bulk,Control,Y,2026,2.57,0.18
15_2023_Bulk,15,2023,Bulk,Control,Y,2026,2.17,0.16
17_2023_Bulk,17,2023,Bulk,Control,Y,2026,2.04,0.15
21_2023_Bulk,21,2023,Bulk,Control,Y,2026,2.03,0.15
1_2023_MAOM,1,2023,MAOM,Control,Y,2026,1.1,0.08
5_2023_MAOM,5,2023,MAOM,Control,Y,2026,1.03,0.08
11_2023_MAOM,11,2023,MAOM,Control,Y,2026,1.16,0.08
15_2023_MAOM,15,2023,MAOM,Control,Y,2026,1.37,0.11
17_2023_MAOM,17,2023,MAOM,Control,Y,2026,0.76,0.06
21_2023_MAOM,21,2023,MAOM,Control,Y,2026,1.04,0.08
1_2025_MAOM,1,2025,MAOM,Control,Y,2026,1,0.08
2_2025_MAOM,2,2025,MAOM,Eifelgold,N,2026,1.28,0.09
3_2025_MAOM,3,2025,MAOM,Huhnerberg,Y,2026,1.33,0.1
4_2025_MAOM,4,2025,MAOM,Bolsdorfer,N,2026,1.44,0.1
5_2025_MAOM,5,2025,MAOM,Huhnerberg,Y,2026,1.02,0.08
6_2025_MAOM,6,2025,MAOM,Lime,N,2026,1.56,0.12
7_2025_MAOM,7,2025,MAOM,Huhnerberg,Y,2026,1.32,0.1
8_2025_MAOM,8,2025,MAOM,Huhnerberg,Y,2026,1.22,0.1
9_2025_MAOM,9,2025,MAOM,Huhnerberg,Y,2026,0.8,0.06
10_2025_MAOM,10,2025,MAOM,Lime,N,2026,0.86,0.07
11_2025_MAOM,11,2025,MAOM,Control,Y,2026,1.31,0.1
12_2025_MAOM,12,2025,MAOM,Huhnerberg,Y,2026,1.03,0.08
13_2025_MAOM,13,2025,MAOM,Eifelgold,N,2026,1.15,0.09
14_2025_MAOM,14,2025,MAOM,Huhnerberg,Y,2026,1.06,0.09
15_2025_MAOM,15,2025,MAOM,Bolsdorfer,N,2026,1.27,0.1
16_2025_MAOM,16,2025,MAOM,Huhnerberg,Y,2026,0.7,0.05
17_2025_MAOM,17,2025,MAOM,Lime,N,2026,0.87,0.07
18_2025_MAOM,18,2025,MAOM,Control,Y,2026,0.98,0.07
19_2025_MAOM,19,2025,MAOM,Huhnerberg,Y,2026,0.66,0.05
20_2025_MAOM,20,2025,MAOM,Bolsdorfer,N,2026,0.96,0.07
21_2025_MAOM,21,2025,MAOM,Eifelgold,N,2026,1.18,0.09
1_2026_Bulk,1,2026,Bulk,Control,Y,2026,1.87,0.13
2_2026_Bulk,2,2026,Bulk,Eifelgold,N,2026,2.39,0.15
3_2026_Bulk,3,2026,Bulk,Huhnerberg,Y,2026,2.73,0.19
4_2026_Bulk,4,2026,Bulk,Bolsdorfer,N,2026,2.29,0.15
5_2026_Bulk,5,2026,Bulk,Huhnerberg,Y,2026,2.14,0.15
6_2026_Bulk,6,2026,Bulk,Lime,N,2026,2.14,0.16
7_2026_Bulk,7,2026,Bulk,Huhnerberg,Y,2026,2.32,0.17
8_2026_Bulk,8,2026,Bulk,Huhnerberg,Y,2026,2.34,0.17
9_2026_Bulk,9,2026,Bulk,Huhnerberg,Y,2026,1.86,0.14
10_2026_Bulk,10,2026,Bulk,Lime,N,2026,2.08,0.14
11_2026_Bulk,11,2026,Bulk,Control,Y,2026,2.08,0.14
12_2026_Bulk,12,2026,Bulk,Huhnerberg,Y,2026,1.97,0.14
13_2026_Bulk,13,2026,Bulk,Eifelgold,N,2026,1.81,0.14
14_2026_Bulk,14,2026,Bulk,Huhnerberg,Y,2026,2.26,0.17
15_2026_Bulk,15,2026,Bulk,Bolsdorfer,N,2026,1.89,0.14
