sample,rep,%N_before_moisture_corr,%C_before_moisture_corr,moisture content,%N,%C,Treatment,Basalt_type_exp,Dose_response_exp.
1,a,0.118414901,1.947793961,0,0.118414901,1.947793961,Control,Y,Y
1,b,0.176770851,1.653193593,0,0.176770851,1.653193593,Control,Y,Y
1,c,0.220274061,1.673717737,0,0.220274061,1.673717737,Control,Y,Y
2,a,0.224208027,2.559873104,0.008219548,0.222365138,2.538832104,Eifelgold_50,Y,N
2,b,0.220453024,2.556746721,0.008219548,0.218641,2.535731419,Eifelgold_50,Y,N
2,c,0.199870855,2.545521975,0.008219548,0.198228007,2.524598935,Eifelgold_50,Y,N
3,a,0.265404969,3.234935045,0.009715684,0.262826378,3.203505438,Huhnerberg_02,N,Y
3,b,0.296956927,3.27536273,0.009715684,0.294071787,3.243540341,Huhnerberg_02,N,Y
3,c,0.304265082,3.24915123,0.009715684,0.301308939,3.217583503,Huhnerberg_02,N,Y
4,a,0.189537719,2.24553895,0.305959155,0.131546919,1.55849575,Bolsdorfer_50,Y,N
4,b,0.247771993,2.125986338,0.305959155,0.171963883,1.475521354,Bolsdorfer_50,Y,N
4,c,0.22366409,2.220457554,0.305959155,0.155232014,1.541088237,Bolsdorfer_50,Y,N
5,a,0.109817229,2.004833937,0.007124682,0.109034816,1.990550133,Huhnerberg_04,N,Y
5,b,0.127055466,2.048903942,0.007124682,0.126150236,2.034306153,Huhnerberg_04,N,Y
5,c,0.395549357,1.935076475,0.007124682,0.392731194,1.92128967,Huhnerberg_04,N,Y
6,a,0.393190801,2.465388775,0.008248408,0.389947603,2.445053243,Lime_02,Y,N
6,b,0.454310119,2.461937189,0.008248408,0.450562784,2.441630127,Lime_02,Y,N
6,c,0.575460732,2.501841307,0.008248408,0.570714097,2.481205099,Lime_02,Y,N
7,a,0.611522913,2.245097876,0.006661503,0.607449251,2.23014215,Huhnerberg_08,N,Y
7,b,0.93976301,2.240756989,0.006661503,0.933502776,2.22583018,Huhnerberg_08,N,Y
7,c,0.175617173,2.22562623,0.006661503,0.174447299,2.210800214,Huhnerberg_08,N,Y
8,a,0.280597568,2.051242113,0.007196193,0.278578334,2.036480979,Huhnerberg_12,N,Y
8,b,0.279350847,2.072899818,0.007196193,0.277340584,2.057982831,Huhnerberg_12,N,Y
8,c,0.214325622,2.087176085,0.007196193,0.212783293,2.072156363,Huhnerberg_12,N,Y
9,a,0.959404158,1.944709063,0.006158029,0.953496119,1.932733488,Huhnerberg_50,Y,Y
9,b,0.808555863,1.953866839,0.006158029,0.803576753,1.94183487,Huhnerberg_50,Y,Y
9,c,0.768914441,1.95009172,0.006158029,0.764179444,1.938082999,Huhnerberg_50,Y,Y
10,a,0.548625484,2.093429089,0.006792709,0.544898831,2.079209034,Lime_02,Y,N
10,b,0.641624167,2.241331339,0.006792709,0.637265801,2.226106627,Lime_02,Y,N
10,c,0.570583314,2.070171595,0.006792709,0.566707508,2.056109522,Lime_02,Y,N
11,a,0.508727955,2.27519083,0.006036064,0.505657241,2.261457633,Control,Y,Y
11,b,0.537405144,2.395706654,0.006036064,0.534161332,2.381246015,Control,Y,Y
11,c,0.147953041,2.331860065,0.006036064,0.147059987,2.317784808,Control,Y,Y
12,a,0.299871676,2.082679272,0.004554523,0.298505904,2.073193661,Huhnerberg_20,N,Y
12,b,0.328744055,2.226134062,0.004554523,0.327246783,2.215995083,Huhnerberg_20,N,Y
12,c,0.209974519,2.138834953,0.004554523,0.209018185,2.12909358,Huhnerberg_20,N,Y
13,a,0.126852538,1.708817959,0.003325854,0.126430645,1.70313468,Eifelgold_50,Y,N
13,b,0.166256235,1.715025425,0.003325854,0.165703291,1.709321501,Eifelgold_50,Y,N
13,c,0.134506673,1.698901653,0.003325854,0.134059323,1.693251354,Eifelgold_50,Y,N
14,a,0.158468512,2.101798534,0,0.158468512,2.101798534,Huhnerberg_50,Y,Y
14,b,0.166621747,2.05560708,0,0.166621747,2.05560708,Huhnerberg_50,Y,Y
14,c,0.166272472,2.104177952,0,0.166272472,2.104177952,Huhnerberg_50,Y,Y
15,a,0.663552184,1.97541821,0.004743941,0.660404332,1.966046943,Bolsdorfer_50,Y,N
15,b,0.138851566,1.982156754,0.004743941,0.138192862,1.972753519,Bolsdorfer_50,Y,N
15,c,0.639985588,1.997089505,0.004743941,0.636949534,1.98761543,Bolsdorfer_50,Y,N
16,a,0.52913222,3.085899591,0.004590275,0.526703358,3.071734463,Huhnerberg_30,N,Y
16,b,0.634539982,3.007092714,0.004590275,0.631627269,2.993289331,Huhnerberg_30,N,Y
16,c,0.493858569,3.051464796,0.004590275,0.491591622,3.037457733,Huhnerberg_30,N,Y
17,a,0.536003337,2.192617416,0.003008138,0.534390965,2.18602172,Lime_02,Y,N
17,b,0.685085728,2.259063005,0.003008138,0.683024896,2.252267432,Lime_02,Y,N
17,c,0.612437174,2.132597208,0.003008138,0.610594878,2.126182061,Lime_02,Y,N
18,a,0.447427233,1.841495395,0.003178798,0.446004952,1.835641653,Control,Y,Y
18,b,0.162380769,1.904224396,0.003178798,0.161864593,1.898171251,Control,Y,Y
18,c,0.635313122,1.933332682,0.003178798,0.63329359,1.927187008,Control,Y,Y
19,a,0.713249695,2.416158915,0.002315644,0.711598063,2.410563951,Huhnerberg_50,Y,Y
19,b,0.210472905,2.388251066,0.002315644,0.209985525,2.382720727,Huhnerberg_50,Y,Y
19,c,0.620174852,2.520523071,0.002315644,0.618738748,2.514686437,Huhnerberg_50,Y,Y
20,a,0.40206639,2.077502489,0.00230013,0.401141585,2.072723963,Bolsdorfer_50,Y,N
