Plot,%Al,%Al2O3,%Fe,%Fe2O3,%Mn,%MnO,%Si,%SiO2
1,0.13,0.25,0.10,0.14,0.01,0.01,0.04,0.09
2,0.16,0.31,0.11,0.16,0.01,0.01,0.05,0.1
3,0.2,0.37,0.2,0.29,0.01,0.01,0.05,0.11
4,0.18,0.35,0.12,0.17,0.01,0.01,0.05,0.11
5,0.17,0.31,0.12,0.17,0.01,0.01,0.04,0.1
6,0.15,0.28,0.16,0.23,0.01,0.01,0.04,0.1
7,0.18,0.33,0.13,0.19,0.01,0.01,0.05,0.1
8,0.16,0.3,0.17,0.24,0.01,0.01,0.05,0.11
9,0.14,0.26,0.1,0.14,0.01,0.01,0.05,0.12
10,0.15,0.29,0.11,0.16,0.01,0.01,0.05,0.11
11,0.18,0.34,0.18,0.25,0.01,0.01,0.05,0.12
12,0.13,0.25,0.09,0.13,0.01,0.01,0.05,0.11
13,0.13,0.24,0.12,0.16,0.01,0.01,0.05,0.11
14,0.12,0.22,0.14,0.2,0.01,0.01,0.05,0.11
15,0.13,0.24,0.21,0.3,0.01,0.01,0.06,0.12
16,0.1,0.19,0.14,0.2,0.01,0.01,0.05,0.1
17,0.1,0.18,0.12,0.18,0.01,0.01,0.05,0.1
18,0.09,0.16,0.09,0.13,0.01,0.01,0.04,0.09
19,0.11,0.2,0.12,0.17,0.01,0.01,0.05,0.1
20,0.11,0.22,0.14,0.2,0.01,0.01,0.05,0.1
21,0.11,0.21,0.15,0.21,0.01,0.01,0.04,0.09
