Sample,"Soil, dry (g)",Funnel + filter paper (g),Funnel + filter paper + soil at WHC (g),Mass water in soil at WHC (g),Water content at WHC (g g-1),Water content at 60% WHC
1,5.23,4.2,9.63,0.2,0.04,0.022944551
2,5.12,12.67,18.33,0.54,0.11,0.06328125
3,5.15,14.69,20.63,0.79,0.15,0.092038835
4,5.23,14.3,20.91,1.38,0.26,0.1583174
5,5.11,12.25,17.91,0.55,0.11,0.064579256
6,5.14,4.05,9.62,0.43,0.08,0.050194553
7,5.06,4.22,9.49,0.21,0.04,0.024901186
8,5.01,3.93,9.25,0.31,0.06,0.037125749
9,5.37,14.65,20.99,0.97,0.18,0.108379888
10,5.11,2.44,7.78,0.23,0.05,0.027005871
11,5.09,14.3,20.55,1.16,0.23,0.136738703
12,5.09,4.17,9.5,0.24,0.05,0.028290766
13,5.06,4.2,9.44,0.18,0.04,0.021343874
14,5.22,12.67,18.47,0.58,0.11,0.066666667
15,5.05,4.21,9.68,0.42,0.08,0.04990099
16,5.11,19.71,25.05,0.23,0.05,0.027005871
17,5.09,3.91,9.13,0.13,0.03,0.015324165
18,5.03,12.41,18.05,0.61,0.12,0.072763419
19,5.21,14.5,20.45,0.74,0.14,0.085220729
20,5.04,3.9,9.09,0.15,0.03,0.017857143
21,5.08,4.18,9.44,0.18,0.04,0.021259843
