sample,extract,rep,bulk soil mass (g),moisture content (m m-1),theoretical bulk oven dry soil mass (g),missing mass,theoretical mass recovered,recovery (%),mass <2mm,mass pan B,mass pan B + dry soil,mass >2mm fraction,% >2mm fraction,CV% >2mm fraction,mass pan C,mass pan C + dry soil,mass >0.25mm fraction,% >0.25mm fraction,CV% >0.25mm fraction,mass pan D,mass pan D + dry soil,mass >0.063mm fraction,% >0.063mm fraction,CV% >0.063mm fraction,mass pan E,mass pan E + dry soil,mass <0.063mm fraction,% <0.063mm fraction,CV% <0.063mm fraction
1,H2O,a,20.565,0.007481104,20.411,0.239,20.172,0.988,20.110,5.288,5.35,0.062,0.307356732,64.11875693,9.16,14.861,5.701,28.34908006,6.595438156,9.176,20.505,11.329,56.33515664,2.646034245,18.577,21.657,3.08,15.3157633,1.724385312
1,H2O,b,20.12,0.007481104,19.969,0.072,19.897,0.996,19.874,5.288,5.311,0.023,0.115595316,,9.157,14.289,5.132,25.8226829,,9.202,20.825,11.623,58.48344571,,18.516,21.635,3.119,15.69387139,
2,H2O,a,20.429,0.010563065,20.213,0.217,19.996,0.989,19.936,5.296,5.356,0.06,0.300060012,119.285108,9.121,16.06,6.939,34.80638042,25.65192929,9.212,19.57,10.358,51.95626003,7.446561874,18.614,21.253,2.639,13.23735955,22.13419814
2,H2O,b,20.112,0.010563065,19.900,0.275,19.625,0.986,19.620,5.299,5.304,0.005,0.025477707,,9.123,13.855,4.732,24.11824669,,9.216,20.543,11.327,57.73190622,,18.611,22.172,3.561,18.14984709,
3,H2O,a,20.136,0.007861017,19.978,0.487,19.491,0.976,19.470,5.29,5.311,0.021,0.107742035,15.99925535,9.135,13.794,4.659,23.92912173,23.08791009,9.195,20.699,11.504,59.08577298,0.888018399,18.588,21.895,3.307,16.98510529,21.13845566
3,H2O,b,20.558,0.007861017,20.396,0.430,19.966,0.979,19.939,5.281,5.308,0.027,0.135229891,,9.168,12.6,3.432,17.21249812,,9.168,21.098,11.93,59.83248909,,18.695,23.272,4.577,22.95501279,
4,H2O,a,20.293,0.008998972,20.110,0.290,19.820,0.986,19.790,5.301,5.331,0.03,0.15136226,24.641313,9.169,16.502,7.333,37.05406771,25.9792403,9.195,18.825,9.63,48.66093987,11.74946467,18.749,21.576,2.827,14.28499242,12.13962201
4,H2O,b,20.192,0.008998972,20.010,0.281,19.729,0.986,19.708,5.287,5.308,0.021,0.106442293,,9.161,14.197,5.036,25.55307489,,9.17,20.498,11.328,57.47919627,,18.679,22.023,3.344,16.96772884,
5,H2O,a,20.962,0.010024025,20.752,0.642,20.110,0.969,20.101,5.266,5.275,0.009,0.044753854,36.22324468,9.173,16.934,7.761,38.6100194,12.48671363,9.175,18.909,9.734,48.42545147,8.891988623,18.657,21.263,2.606,12.96452913,1.283580494
5,H2O,b,20.167,0.010024025,19.965,0.117,19.848,0.994,19.833,5.282,5.297,0.015,0.075574365,,9.182,15.597,6.415,32.34508143,,9.178,20.071,10.893,54.92361216,,18.645,21.17,2.525,12.73130641,
