sample,extract,rep,bulk soil mass (g),moisture content (m m-1),theoretical bulk oven dry soil mass (g),missing mass,theoretical mass recovered,recovery (%),mass <2mm,mass pan B,mass pan B + dry soil,mass >2mm fraction,% >2mm fraction,CV% >2mm fraction,mass pan C,mass pan C + dry soil,mass >0.25mm fraction,% >0.25mm fraction,CV% >0.25mm fraction,mass pan D,mass pan D + dry soil,mass >0.063mm fraction,% >0.063mm fraction,CV% >0.063mm fraction,mass pan E,mass pan E + dry soil,mass <0.063mm fraction,% <0.063mm fraction,CV% <0.063mm fraction
1,H2O,a,20.296,0.007481104,20.144,-0.026,20.170,1.001,20.110,3.765,3.825,0.06,0.297471492,94.76999709,10.039,15.738,5.699,28.33913476,7.212070591,10.026,21.943,11.917,59.25907509,1.570405017,29.118,31.612,2.494,12.40179015,10.69654068
1,H2O,b,20.182,0.007481104,20.031,0.178,19.853,0.991,19.554,3.778,4.077,0.299,1.506069612,,10.043,16.18,6.137,31.38488289,,10.034,21.367,11.333,57.95745116,,29.081,31.165,2.084,10.65766595,
2,H2O,a,20.393,0.010563065,20.178,0.812,19.366,0.960,18.976,3.775,4.165,0.39,2.013838686,106.196944,10.049,17.687,7.638,40.25084317,14.51604335,10.011,19.169,9.158,48.26096121,11.60551604,29.173,31.353,2.18,11.48819562,7.350607811
2,H2O,b,20.206,0.010563065,19.993,0.445,19.548,0.978,19.492,3.762,3.818,0.056,0.28647432,,10.042,16.427,6.385,32.75702852,,10.011,21.1,11.089,56.89000616,,29.156,31.174,2.018,10.35296532,
3,H2O,a,20.681,0.007861017,20.518,0.247,20.271,0.988,20.187,3.766,3.85,0.084,0.414385082,26.99661448,10.044,14.73,4.686,23.21295883,1.224579869,10.004,22.675,12.671,62.7681181,0.499801495,29.149,31.979,2.83,14.01892307,4.116779554
3,H2O,b,20.552,0.007861017,20.390,0.144,20.246,0.993,20.189,3.782,3.839,0.057,0.281537094,,10.06,14.666,4.606,22.81440388,,10.022,22.605,12.583,62.32601912,,29.128,32.128,3,14.859577,
4,H2O,a,20.418,0.008998972,20.234,1.148,19.086,0.943,19.034,3.788,3.84,0.052,0.272451011,90.27869329,10.053,16.756,6.703,35.21592939,44.39078944,9.993,20.375,10.382,54.54449932,46.39829491,29.605,31.554,1.949,10.23957129,-185.9716515
4,H2O,b,20.798,0.008998972,20.611,10.241,10.370,0.503,10.242,3.794,3.922,0.128,1.234329797,,10.056,16.963,6.907,67.43800039,,10.012,21.054,11.042,107.8109744,,29,21.293,-7.707,-75.24897481,
5,H2O,a,20.923,0.010024025,20.713,0.393,20.320,0.981,20.237,3.781,3.864,0.083,0.408464567,5.954746362,10.054,17.576,7.522,37.16954094,6.325885403,10.026,20.977,10.951,54.11375204,4.956377917,29.016,30.78,1.764,8.716707022,1.47428893
5,H2O,b,20.106,0.010024025,19.904,0.461,19.443,0.977,19.370,3.797,3.87,0.073,0.375456462,,10.054,17.928,7.874,40.65049045,,10.047,19.819,9.772,50.44914817,,29.163,30.887,1.724,8.900361384,
6,H2O,a,20.096,0.012256861,19.850,0.324,19.526,0.984,19.370,3.775,3.931,0.156,0.798934754,2.626337899,10.054,17.928,7.874,40.65049045,25.42514969,10.047,19.819,9.772,50.44914817,7.581090376,29.163,30.887,1.724,8.900361384,38.56414063
6,H2O,b,20.523,0.012256861,20.271,0.854,19.417,0.958,19.256,3.766,3.927,0.161,0.829170315,,10.081,15.523,5.442,28.26132115,,10.052,20.867,10.815,56.16431242,,29.159,32.158,2.999,15.57436643,
