sample,extract,rep,bulk soil mass (g),moisture content (m m-1),theoretical bulk oven dry soil mass (g),missing mass,theoretical mass recovered,recovery (%),mass <2mm,mass pan B,mass pan B + dry soil,mass >2mm fraction,% >2mm fraction,CV% >2mm fraction,mass pan C,mass pan C + dry soil,mass >0.25mm fraction,% >0.25mm fraction,CV% >0.25mm fraction,mass pan D,mass pan D + dry soil,mass >0.063mm fraction,% >0.063mm fraction,CV% >0.063mm fraction,mass pan E,mass pan E + dry soil,mass <0.063mm fraction,% <0.063mm fraction,CV% <0.063mm fraction
1,H2O,a,20.021,0.007481104,19.871,-0.084,19.955,1.004,19.870,5.286,5.371,0.085,0.425958406,37.1631104,9.193,14.953,5.76,28.98842476,2.186214568,9.195,19.85,10.655,53.6235531,0.246741221,16.239,19.694,3.455,17.38802214,2.771591725
1,H2O,b,21.413,0.007481104,21.253,-0.462,21.715,1.022,21.661,5.253,5.307,0.054,0.24867603,,9.202,15.29,6.088,28.10581229,,9.234,20.89,11.656,53.81099672,,16.14,20.057,3.917,18.08319099,
2,H2O,a,20.997,0.010563065,20.775,-0.696,21.471,1.033,21.355,5.258,5.374,0.116,0.540263611,122.6584177,9.145,15.317,6.172,28.90189651,15.33606531,9.188,20.335,11.147,52.19854835,5.843962238,16.172,20.208,4.036,18.89955514,4.193765661
2,H2O,b,20.41,0.010563065,20.194,-0.647,20.841,1.032,20.833,5.276,5.284,0.008,0.038385874,,9.15,13.993,4.843,23.24677195,,9.196,21.008,11.812,56.69850718,,16.448,20.626,4.178,20.05472088,
3,H2O,a,20.419,0.007861017,20.258,-0.293,20.551,1.014,20.524,5.315,5.342,0.027,0.131380468,121.4868913,9.201,13.201,4,19.48937829,18.59906382,9.158,20.973,11.815,57.56675112,7.363094406,16.441,21.15,4.709,22.94387059,5.751157822
3,H2O,b,20.045,0.007861017,19.887,-0.190,20.077,1.010,20.075,5.27,5.272,0.002,0.009961648,,9.157,12.16,3.003,14.95890411,,9.141,21.967,12.826,63.89041096,,16.41,20.656,4.246,21.15068493,
4,H2O,a,20.275,0.008998972,20.093,-0.134,20.227,1.007,20.180,5.261,5.308,0.047,0.232362684,47.6217281,9.154,15.451,6.297,31.20416254,10.26762715,9.183,19.417,10.234,50.7135778,3.798434431,16.408,20.057,3.649,18.08225966,5.360912518
4,H2O,b,20.056,0.008998972,19.876,-0.073,19.949,1.004,19.926,5.263,5.286,0.023,0.115294,,9.196,14.572,5.376,26.97982535,,9.179,19.842,10.663,53.51299809,,16.412,20.299,3.887,19.50717655,
5,H2O,a,20.248,0.010024025,20.045,-0.322,20.367,1.016,20.351,5.246,5.262,0.016,0.078558452,39.2898854,9.161,14.812,5.651,27.76767726,6.897375933,9.162,20.172,11.01,54.1005356,2.901039867,16.458,20.148,3.69,18.13178714,1.2237656
5,H2O,b,19.988,0.010024025,19.788,-0.483,20.271,1.024,20.262,5.302,5.311,0.009,0.044398402,,9.177,14.28,5.103,25.18507551,,9.145,20.566,11.421,56.36659757,,16.415,20.153,3.738,18.44832692,
6,H2O,a,20.112,0.012256861,19.865,-0.091,19.956,1.005,19.922,5.305,5.339,0.034,0.170374825,5.901310609,9.15,14.375,5.225,26.22728642,15.04491371,9.163,19.366,10.203,51.21473748,11.62791486,18.493,22.987,4.494,22.55797611,14.26075411
