sample,extract,rep,recovery (%),% >2mm fraction,% >0.25mm fraction,% >0.063mm fraction,% <0.063mm fraction
20,H2O,a,N/A,N/A,N/A,N/A,N/A
20,H2O,b,0.98,0.3,41.4,53.8,4.5
20,H2O,c,1.02,0.3,37.6,56.0,6.1
20,Oxalate,a,1.01,1.9,35.8,54.1,8.2
20,Oxalate,b,1.01,0.6,35.3,55.2,8.9
20,Oxalate,c,1.02,0.0,37.5,53.9,8.7
20,H2O2,a,0.99,0.6,42.5,51.9,5.0
20,H2O2,b,1.00,1.4,43.1,48.6,6.9
20,H2O2,c,0.95,0.2,38.3,54.8,6.7
20,HCl,a,1.05,0.1,35.7,55.1,9.0
20,HCl,b,0.90,0.2,46.4,47.5,5.9
20,HCl,c,1.12,0.3,42.1,50.4,7.2
20,NaOH,a,1.00,0.4,37.3,51.9,10.4
20,NaOH,b,1.02,0.8,36.3,52.5,10.4
20,NaOH,c,0.96,0.5,42.9,47.8,8.7
