Plot,Plant #,Part,Total Mass (g),Mass of Pan (g),Mass Difference (g)
1,1,TL,122.2,120,2.2
1,1,Rem,142.8,120,22.8
1,1,Stem,171.8,120,51.8
1,1,Corn,235.8,120,115.8
1,3,TL,120.8,120,0.8
1,3,Rem,140.2,120,20.2
1,3,Stem,165,120,45
1,3,Corn,208,120,88
1,4,TL,122,120,2
1,4,Rem,137.2,120,17.2
1,4,Stem,163.4,120,43.4
1,4,Corn,216.2,120,96.2
1,5,TL,121.2,120,1.2
1,5,Rem,135,120,15
1,5,Stem,176,120,56
1,5,Corn,203.6,120,83.6
2,1,TL,123,120,3
2,1,Rem,136,120,16
2,1,Stem,147.8,120,27.8
2,1,Corn,174,120,54
2,2,TL,118.2,116,2.2
2,2,Rem,124.4,116,8.4
2,2,Stem,130.6,116,14.6
2,2,Corn,141,116,25
2,3,TL,126,120,6
2,3,Rem,136.4,120,16.4
2,3,Stem,149.6,120,29.6
2,3,Corn,169.4,120,49.4
2,4,TL,119.4,114,5.4
2,4,Rem,123.8,114,9.8
2,4,Stem,134.6,114,20.6
2,4,Corn,143.8,114,29.8
2,5,TL,120.8,120,0.8
2,5,Rem,125,120,5
2,5,Stem,133,120,13
2,5,Corn,133.6,120,13.6
2,6,TL,126.2,120,6.2
2,6,Rem,141.8,120,21.8
2,6,Stem,158,120,38
2,6,Corn,192.6,120,72.6
3,1,TL,120.2,114,6.2
3,1,Rem,134.6,114,20.6
3,1,Corn,138.8,114,24.8
3,1,Stem,159.6,114,45.6
3,2,TL,121.2,114,7.2
3,2,Rem,133.3,114,19.3
3,2,Corn,142.6,114,28.6
3,2,Stem,160.2,114,46.2
3,3,Rem,121.4,120,1.4
3,3,Corn,127,120,7
3,3,TL,129.8,120,9.8
3,3,Stem,165,120,45
3,4,TL,123.8,120,3.8
3,4,Rem,132.4,120,12.4
3,4,Stem,153.8,120,33.8
3,4,Corn,172,120,52
3,5,TL,123.2,115,8.2
3,5,Corn,139.8,115,24.8
3,5,Rem,164,115,49
3,5,Stem,221.8,115,106.8
4,1,TL,122.6,120,2.6
4,1,Rem,140.6,120,20.6
4,1,Stem,172.8,120,52.8
4,1,Corn,232.8,120,112.8
4,2,TL,121.2,120,1.2
4,2,Rem,141,120,21
4,2,Stem,171.2,120,51.2
4,2,Corn,237.4,120,117.4
4,3,TL,121.6,120,1.6
4,3,Rem,140.8,120,20.8
4,3,Stem,166.6,120,46.6
4,3,Corn,244.4,120,124.4
4,4,TL,120,118,2
4,4,Rem,137.2,118,19.2
4,4,Stem,169.2,118,51.2
4,4,Corn,209.8,118,91.8
4,5,TL,122.56,120,2.6
4,5,Rem,139.52,120,19.5
4,5,Stem,168.68,120,48.7
4,5,Corn,225.52,120,105.5
4,6,TL,127.4,120,7.4
4,6,Rem,138,120,18
4,6,Stem,163.6,120,43.6
4,6,Corn,203.2,120,83.2
5,1,TL,123.4,115,8.4
5,1,Rem,139.4,115,24.4
5,1,Stem,161.8,115,46.8
5,1,Corn,239.2,115,124.2
5,2,TL,126.6,115,11.6
5,2,Rem,159.2,115,44.2
5,2,Stem,178.6,115,63.6
5,2,Corn,302.8,115,187.8
5,3,TL,125.6,120,5.6
5,3,Rem,134.4,120,14.4
5,3,Stem,169.2,120,49.2
5,3,Corn,236.8,120,116.8
5,4,TL,124.2,120,4.2
5,4,Rem,141.2,120,21.2
5,4,Stem,154,120,34
5,4,Corn,203.4,120,83.4
5,5,Rem,124.4,118,6.4
5,5,TL,150,118,32
5,5,Corn,163.6,118,45.6
5,5,Stem,275,118,157
6,1,Rem,122.8,117,5.8
6,1,TL,145,117,28
6,1,Corn,155.6,117,38.6
6,1,Stem,188.2,117,71.2
6,2,TL,120.8,114,6.8
6,2,Rem,145.4,114,31.4
6,2,Stem,155.4,114,41.4
6,2,Corn,214.8,114,100.8
6,3,TL,116.6,113,3.6
6,3,Rem,138,113,25
6,3,Stem,158.8,113,45.8
6,3,Corn,177.6,113,64.6
6,4,TL,124.6,120,4.6
6,4,Rem,149.8,120,29.8
6,4,Stem,161.4,120,41.4
6,4,Corn,232.2,120,112.2
6,5,TL,125.2,120,5.2
6,5,Rem,143.6,120,23.6
6,5,Stem,162.4,120,42.4
6,5,Corn,192.2,120,72.2
7,1,TL,123,120,3
7,1,Rem,144.6,120,24.6
7,1,Stem,151,120,31
7,1,Corn,182.2,120,62.2
1,2,TL,122.4,120,2.4
7,2,TL,124.2,120,4.2
1,2,Rem,136.2,120,16.2
7,2,Rem,141.2,120,21.2
1,2,Stem,153.4,120,33.4
7,2,Stem,172.6,120,52.6
1,2,Corn,197.4,120,77.4
7,2,Corn,216.4,120,96.4
7,3,TL,127.8,120,7.8
7,3,Rem,138.2,120,18.2
7,3,Stem,159.6,120,39.6
7,3,Corn,212.4,120,92.4
7,4,TL,126.2,120,6.2
7,4,Rem,137.2,120,17.2
7,4,Stem,151.8,120,31.8
7,4,Corn,180.8,120,60.8
7,5,TL,125.6,120,5.6
7,5,Rem,129.6,120,9.6
