rbf #,sample ID,date fractionation,Plot,Sampling_year,SOM_fraction,mass filter(s),mass filter(s)  + dried som,mass som on filter,mass som on filter corr,mass soil,moisture content,mass soil corr,mass rbf,mass rbf + som fraction freeze-dried,mass som fraction,total mass som fractions,recovery (%),som fraction (%)
4,1_2023_fPOM,03/03/2026,1,2023,fPOM,0.102,0.111,0.009,0.009,14.97,,,,104.622,,,,
9,5_2023_fPOM,03/03/2026,5,2023,fPOM,0.106,0.103,-0.003,0,13.43,,,,106.56,,,,
2,1_2023_oPOM,03/03/2026,1,2023,oPOM,0.219,0.245,0.026,0.026,14.97,,,,104.196,,,,
3,5_2023_oPOM,03/03/2026,5,2023,oPOM,0.218,0.277,0.059,0.059,13.43,,,,106.717,,,,
18,1_2023_MAOM,03/03/2026,1,2023,MAOM,NA,NA,#VALUE!,#VALUE!,14.97,,,,189.51,,,,
13,5_2023_MAOM,03/03/2026,5,2023,MAOM,NA,NA,#VALUE!,#VALUE!,13.43,,,,175.43,,,,
1,17_2023_fPOM,04/03/2026,17,2023,fPOM,0.112,0.116,0.004,0.004,9.03,,,,97.776,,,,
14,17_2023_oPOM,04/03/2026,17,2023,oPOM,0.109,0.116,0.007,0.007,9.03,,,,167.87,,,,
12,17_2023_MAOM,04/03/2026,17,2023,MAOM,NA,NA,#VALUE!,#VALUE!,9.03,,,,170.87,,,,
20,4_2025_fPOM,05/03/2026,4,2025,fPOM,0.11,0.108,-0.002,0,9.03,,,,104.681,,,,
21,6_2025_fPOM,05/03/2026,6,2025,fPOM,0.107,0.115,0.008,0.008,9.01,,,,106.168,,,,
25,9_2025_fPOM,05/03/2026,9,2025,fPOM,0.107,0.12,0.013,0.013,9.05,,,,104.056,,,,
26,10_2025_fPOM,05/03/2026,10,2025,fPOM,0.109,0.108,-0.001,0,9,,,,103.737,,,,
32,4_2025_oPOM,05/03/2026,4,2025,oPOM,0.108,,-0.108,0,9.03,,,,175.58,,,,
24,6_2025_oPOM,05/03/2026,6,2025,oPOM,0.109,0.11,0.001,0.001,9.01,,,,107.629,,,,
37,9_2025_oPOM,05/03/2026,9,2025,oPOM,0.109,0.275,0.166,0.166,9.05,,,,172.86,,,,
31,10_2025_oPOM,05/03/2026,10,2025,oPOM,0.107,0.344,0.237,0.237,9,,,,176.84,,,,
23,11_2025_fPOM,06/03/2026,11,2025,fPOM,0.105,0.116,0.011,0.011,9.04,,,,109.293,,,,
29,13_2025_fPOM,06/03/2026,13,2025,fPOM,0.106,0.116,0.01,0.01,9.03,,,,101.039,,,,
15,4_2025_MAOM,05/03/2026,4,2025,MAOM,NA,NA,#VALUE!,#VALUE!,9.03,,,,179.6,,,,
19,6_2025_MAOM,05/03/2026,6,2025,MAOM,NA,NA,#VALUE!,#VALUE!,9.01,,,,186.12,,,,
16,9_2025_MAOM,05/03/2026,9,2025,MAOM,NA,NA,#VALUE!,#VALUE!,9.05,,,,181.8,,,,
11,10_2025_MAOM,05/03/2026,10,2025,MAOM,NA,NA,#VALUE!,#VALUE!,9,,,,183.97,,,,
17,11_2025_oPOM,06/03/2026,11,2025,oPOM,0.104,0.34,0.236,0.236,9.04,,,,175.99,,,,
40,13_2025_oPOM,06/03/2026,13,2025,oPOM,0.108,0.223,0.115,0.115,9.03,,,,163.03,,,,
34,14_2025_fPOM,09/03/2026,14,2025,fPOM,0.107,0.114,0.007,0.007,9.16,,,,103.614,,,,
36,15_2025_fPOM,09/03/2026,15,2025,fPOM,0.109,0.119,0.01,0.01,9.06,,,,103.318,,,,
164,5_2025_fPOM,07/04/2026,5,2025,fPOM,0.107,0.115,0.008,0.008,9.03,,,,102.712,,,,
33,17_2025_fPOM,09/03/2026,17,2025,fPOM,0.106,0.112,0.006,0.006,9.19,,,,106.045,,,,
35,18_2025_fPOM,09/03/2026,18,2025,fPOM,0.107,0.12,0.013,0.013,9.09,,,,104.711,,,,
41,14_2025_oPOM,09/03/2026,14,2025,oPOM,0.108,0.303,0.195,0.195,9.16,,,,178.69,,,,
42,15_2025_oPOM,09/03/2026,15,2025,oPOM,0.109,0.206,0.097,0.097,9.06,,,,175.41,,,,
43,17_2025_oPOM,09/03/2026,17,2025,oPOM,0.106,0.334,0.228,0.228,9.19,,,,179.03,,,,
52,18_2025_oPOM,09/03/2026,18,2025,oPOM,0.107,0.291,0.184,0.184,9.09,,,,167.87,,,,
5,11_2025_MAOM,06/03/2026,11,2025,MAOM,NA,NA,#VALUE!,#VALUE!,9.04,,,,168.03,,,,
30,13_2025_MAOM,06/03/2026,13,2025,MAOM,NA,NA,#VALUE!,#VALUE!,9.03,,,,189.51,,,,
27,19_2025_fPOM,09/03/2026,19,2025,fPOM,0.111,0.112,0.001,0.001,9.1,,,,105.972,,,,
28,20_2025_fPOM,09/03/2026,20,2025,fPOM,0.113,0.139,0.026,0.026,9,,,,108.376,,,,
53,19_2025_oPOM,09/03/2026,19,2025,oPOM,0.106,0.204,0.098,0.098,9.1,,,,175.17,,,,
45,20_2025_oPOM,09/03/2026,20,2025,oPOM,0.107,0.36,0.253,0.253,9,,,,177.12,,,,
10,14_2025_MAOM,10/03/2026,14,2025,MAOM,NA,NA,#VALUE!,#VALUE!,9.16,,,,183.56,,,,
7,15_2025_MAOM,10/03/2026,15,2025,MAOM,NA,NA,#VALUE!,#VALUE!,9.06,,,,172.38,,,,
38,17_2025_MAOM,10/03/2026,17,2025,MAOM,NA,NA,#VALUE!,#VALUE!,9.19,,,,177.84,,,,
39,18_2025_MAOM,10/03/2026,18,2025,MAOM,NA,NA,#VALUE!,#VALUE!,9.09,,,,172.11,,,,
47,11_2023_fPOM,11/03/2026,11,2023,fPOM,0.108,0.121,0.013,0.013,9.02,,,,97.751,,,,
6,15_2023_fPOM,11/03/2026,15,2023,fPOM,0.107,0.116,0.009,0.009,9.9,,,,105.854,,,,
48,21_2025_fPOM,11/03/2026,21,2025,fPOM,0.109,0.11,0.001,0.001,9.05,,,,104.036,,,,
54,19_2025_MAOM,09/03/2026,19,2025,MAOM,NA,NA,#VALUE!,#VALUE!,9.1,,,,171.31,,,,
50,20_2025_MAOM,09/03/2026,20,2025,MAOM,NA,NA,#VALUE!,#VALUE!,9,,,,173.04,,,,
61,11_2023_oPOM,11/03/2026,11,2023,oPOM,0.106,0.449,0.343,0.343,9.02,,,,104.723,,,,
62,15_2023_oPOM,11/03/2026,15,2023,oPOM,0.108,0.252,0.144,0.144,9.9,,,,103.622,,,,
60,21_2025_oPOM,11/03/2026,21,2025,oPOM,0.11,0.324,0.214,0.214,9.05,,,,103.938,,,,
57,1_2026_fPOM,12/03/2026,1,2026,fPOM,0.109,0.109,0,0,9.14,,,,106.089,,,,
56,2_2026_fPOM,12/03/2026,2,2026,fPOM,0.109,0.114,0.005,0.005,9.07,,,,106.248,,,,
64,4_2026_fPOM,12/03/2026,4,2026,fPOM,0.107,0.109,0.002,0.002,9.01,,,,106.477,,,,
58,6_2026_fPOM,12/03/2026,6,2026,fPOM,0.11,0.117,0.007,0.007,9.32,,,,102.73,,,,
55,11_2023_MAOM,11/03/2026,11,2023,MAOM,NA,NA,#VALUE!,#VALUE!,9.02,,,,183.05,,,,
65,15_2023_MAOM,11/03/2026,15,2023,MAOM,NA,NA,#VALUE!,#VALUE!,9.9,,,,187.52,,,,
51,21_2025_MAOM,11/03/2026,21,2025,MAOM,NA,NA,#VALUE!,#VALUE!,9.05,,,,179.58,,,,
66,1_2026_oPOM,12/03/2026,1,2026,oPOM,0.112,0.239,0.127,0.127,9.14,,,,174.35,,,,
46,2_2026_oPOM,12/03/2026,2,2026,oPOM,0.107,0.32,0.213,0.213,9.07,,,,161.7,,,,
44,4_2026_oPOM,12/03/2026,4,2026,oPOM,0.108,0.407,0.299,0.299,9.01,,,,176.06,,,,
49,6_2026_oPOM,12/03/2026,6,2026,oPOM,0.108,0.35,0.242,0.242,9.32,,,,176.53,,,,
67,9_2026_fPOM,13/03/2026,9,2026,fPOM,0.107,0.113,0.006,0.006,9.05,,,,97.556,,,,
22,10_2026_fPOM,13/03/2026,10,2026,fPOM,0.107,0.109,0.002,0.002,9.28,,,,106.609,,,,
69,1_2026_MAOM,12/03/2026,1,2026,MAOM,NA,NA,#VALUE!,#VALUE!,9.14,,,,116.541,,,,
71,2_2026_MAOM,12/03/2026,2,2026,MAOM,NA,NA,#VALUE!,#VALUE!,9.07,,,,118.035,,,,
72,4_2026_MAOM,12/03/2026,4,2026,MAOM,NA,NA,#VALUE!,#VALUE!,9.01,,,,111.974,,,,
70,6_2026_MAOM,12/03/2026,6,2026,MAOM,NA,NA,#VALUE!,#VALUE!,9.32,,,,115.059,,,,
86,9_2026_oPOM,13/03/2026,9,2026,oPOM,0.108,0.232,0.124,0.124,9.05,,,,175.43,,,,
85,10_2026_oPOM,13/03/2026,10,2026,oPOM,0.109,0.249,0.14,0.14,9.28,,,,163.38,,,,
82,9_2026_MAOM,13/03/2026,9,2026,MAOM,NA,NA,#VALUE!,#VALUE!,9.05,,,,185.56,,,,
83,10_2026_MAOM,13/03/2026,10,2026,MAOM,NA,NA,#VALUE!,#VALUE!,9.28,,,,184.68,,,,
88,11_2026_fPOM,16/03/2026,11,2026,fPOM,0.108,0.115,0.007,0.007,9.24,,,,104.562,,,,
74,13_2026_fPOM,16/03/2026,13,2026,fPOM,0.108,0.136,0.028,0.028,9.02,,,,108.346,,,,
89,14_2026_fPOM,16/03/2026,14,2026,fPOM,0.11,0.108,-0.002,0,9,,,,105.796,,,,
63,15_2026_fPOM,16/03/2026,15,2026,fPOM,0.108,0.121,0.013,0.013,9.09,,,,106.55,,,,
87,11_2026_oPOM,16/03/2026,11,2026,oPOM,0.108,0.247,0.139,0.139,9.24,,,,174.75,,,,
92,13_2026_oPOM,16/03/2026,13,2026,oPOM,0.109,0.229,0.12,0.12,9.02,,,,163.66,,,,
80,14_2026_oPOM,16/03/2026,14,2026,oPOM,0.108,0.311,0.203,0.203,9,,,,162.27,,,,
84,15_2026_oPOM,16/03/2026,15,2026,oPOM,0.109,0.108,-0.001,0,9.09,,,,168.98,,,,
90,11_2026_MAOM,16/03/2026,11,2026,MAOM,NA,NA,#VALUE!,#VALUE!,9.24,,,,187.43,,,,
91,13_2026_MAOM,16/03/2026,13,2026,MAOM,NA,NA,#VALUE!,#VALUE!,9.02,,,,171.74,,,,
94,14_2026_MAOM,16/03/2026,14,2026,MAOM,NA,NA,#VALUE!,#VALUE!,9,,,,189.46,,,,
93,15_2026_MAOM,16/03/2026,15,2026,MAOM,NA,NA,#VALUE!,#VALUE!,9.09,,,,187.83,,,,
96,18_2026_fPOM,17/03/2026,18,2026,fPOM,0.106,0.123,0.017,0.017,9.55,,,,104.051,,,,
95,19_2026_fPOM,17/03/2026,19,2026,fPOM,0.108,0.115,0.007,0.007,9.02,,,,97.698,,,,
97,20_2026_fPOM,17/03/2026,20,2026,fPOM,0.109,0.106,-0.003,0,9.23,,,,106.256,,,,
108,18_2026_oPOM,17/03/2026,18,2026,oPOM,0.109,0.474,0.365,0.365,9.55,,,,174.63,,,,
107,19_2026_oPOM,17/03/2026,19,2026,oPOM,0.109,0.376,0.267,0.267,9.02,,,,164.54,,,,
81,20_2026_oPOM,17/03/2026,20,2026,oPOM,0.11,0.414,0.304,0.304,9.23,,,,175.27,,,,
106,18_2026_MAOM,17/03/2026,18,2026,MAOM,NA,NA,#VALUE!,#VALUE!,9.55,,,,176.99,,,,
104,19_2026_MAOM,17/03/2026,19,2026,MAOM,NA,NA,#VALUE!,#VALUE!,9.02,,,,171.31,,,,
102,20_2026_MAOM,17/03/2026,20,2026,MAOM,NA,NA,#VALUE!,#VALUE!,9.23,,,,179.68,,,,
166,3_2025_fPOM,09/04/2026,3,2025,fPOM,0.107,0.125,0.018,0.018,9.16,,,,104.536,,,,
162,17_2026_fPOM,07/04/2026,17,2026,fPOM,0.106,0.109,0.003,0.003,9.56,,,,105.782,,,,
101,21_2026_fPOM,19/03/2026,21,2026,fPOM,0.109,0.105,-0.004,0,9.05,,,,103.843,,,,
167,3_2025_oPOM,09/04/2026,3,2025,oPOM,0.106,0.381,0.275,0.275,9.16,,,,106.147,,,,
163,5_2025_oPOM,07/04/2026,5,2025,oPOM,0.108,0.4,0.292,0.292,9.03,,,,106.048,,,,
161,17_2026_oPOM,07/04/2026,17,2026,oPOM,0.107,0.387,0.28,0.28,9.56,,,,106.886,,,,
103,21_2026_oPOM,19/03/2026,21,2026,oPOM,0.108,0.285,0.177,0.177,9.05,,,,177.14,,,,
165,3_2025_MAOM,09/04/2026,3,2025,MAOM,NA,NA,#VALUE!,#VALUE!,9.16,,,,181.87,,,,
157,5_2025_MAOM,07/04/2026,5,2025,MAOM,NA,NA,#VALUE!,#VALUE!,9.03,,,,184.67,,,,
158,17_2026_MAOM,07/04/2026,17,2026,MAOM,NA,NA,#VALUE!,#VALUE!,9.56,,,,183.62,,,,
79,21_2026_MAOM,19/03/2026,21,2026,MAOM,NA,NA,#VALUE!,#VALUE!,9.05,,,,181.52,,,,
122,7_2025_fPOM,20/03/2026,7,2025,fPOM,0.107,0.119,0.012,0.012,9.14,,,,107.581,,,,
