Sample,Sample date,Sample year,Water content (m m-1)
1,Nov-25,2025,0
2,Nov-25,2025,0.008219548
3,Nov-25,2025,0.009715684
5,Nov-25,2025,0.305959155
6,Nov-25,2025,0.007124682
7,Nov-25,2025,0.008248408
4,Nov-25,2025,0.006661503
8,Nov-25,2025,0.007196193
9,Nov-25,2025,0.006158029
10,Nov-25,2025,0.006792709
11,Nov-25,2025,0.006036064
12,Nov-25,2025,0.004554523
13,Nov-25,2025,0.003325854
14,Nov-25,2025,0
15,Nov-25,2025,0.004743941
16,Nov-25,2025,0.004590275
17,Nov-25,2025,0.003008138
18,Nov-25,2025,0.003178798
19,Nov-25,2025,0.002315644
20,Nov-25,2025,0.00230013
21,Nov-25,2025,0.003205003
1,Feb-26,2026,0.002429543
2,Feb-26,2026,0.002953788
3,Feb-26,2026,0.002897196
5,Feb-26,2026,0.00260902
6,Feb-26,2026,0.002367798
7,Feb-26,2026,0.003640544
4,Feb-26,2026,0.004813923
8,Feb-26,2026,0.00490566
9,Feb-26,2026,0.003652878
10,Feb-26,2026,0.001506591
11,Feb-26,2026,0.002827788
12,Feb-26,2026,0.003594801
13,Feb-26,2026,0.002692826
14,Feb-26,2026,0
15,Feb-26,2026,0.002646003
16,Feb-26,2026,0.001946283
17,Feb-26,2026,0.00291347
18,Feb-26,2026,0.003168944
19,Feb-26,2026,0.003451171
20,Feb-26,2026,0.002667683
21,Feb-26,2026,0.003549246
1,Apr-23,2023,0.006916064
5,Apr-23,2023,0.007587549
11,Apr-23,2023,0.008123731
15,Apr-23,2023,0.006885829
17,Apr-23,2023,0.006319115
20,Apr-23,2023,0.004687069
