Sample,Fe (mg g-1 soil),Al (mg g-1 soil),Mn (mg g-1 soil),Si (mg g-1 soil)
1,0.761,1.563,0.08,0.083
2,0.807,2.031,0.102,0.234
3,1.014,2.43,0.091,0.211
4,0.771,2.33,0.075,0.585
5,0.802,1.925,0.077,0.109
6,0.914,1.904,0.074,0.137
7,0.857,2.152,0.072,0.149
8,1.028,1.849,0.072,0.134
9,0.592,1.33,0.064,0.131
10,0.725,2.028,0.08,0.17
11,0.781,1.975,0.058,0.142
12,0.638,1.733,0.055,0.14
13,0.716,1.762,0.048,0.311
14,0.777,1.465,0.052,0.185
15,0.987,1.566,0.043,0.365
16,1.147,1.481,0.056,0.206
17,0.762,1.18,0.031,0.082
18,0.644,0.971,0.026,0.05
19,0.989,1.545,0.034,0.173
20,0.847,1.833,0.027,0.731
21,0.88,1.566,0.031,0.345
