RBF#,mass (g)
1,97.573
2,103.975
3,106.516
4,104.484
5,159.24
6,105.685
7,163.61
8,105.945
9,106.429
10,174.67
11,175.13
12,162.19
13,162.55
14,167.82
15,170.8
16,173.06
17,175.96
18,175.09
19,177.3
20,104.641
21,106.015
22,106.54
23,109.21
24,107.58
25,103.846
26,103.56
27,105.765
28,108.195
29,100.888
30,180.69
31,176.57
32,175.51
33,105.954
34,103.54
35,104.481
36,103.193
37,172.74
38,168.95
39,163.33
40,163.04
41,178.35
42,175.42
43,179.01
44,175.99
45,177.05
46,161.6
47,97.582
48,103.991
49,176.48
50,164.42
51,170.8
52,167.79
53,175.11
54,162.56
55,174.48
56,106.21
57,106.031
58,102.634
59,103.786
60,103.864
61,104.609
62,103.589
63,106.524
64,106.441
65,177.9
66,174.34
67,97.489
68,103.531
69,107.6
70,105.95
71,109.234
72,103.173
73,100.909
74,108.203
75,173.07
76,159.25
77,177.31
78,175.5
79,172.75
80,162.2
81,175.14
82,176.55
83,175.93
84,168.9
85,163.29
86,175.35
87,174.67
88,104.5
89,105.773
90,178.3
91,162.99
92,163.6
93,178.95
94,180.65
95,97.585
96,103.837
97,106.164
98,103.561
99,106.419
100,102.611
101,103.755
102,170.77
103,177.02
104,162.53
105,177.88
106,167.79
107,164.38
108,174.41
109,104.596
110,105.992
111,157.88
112,172.8
113,172.22
114,172.22
115,105.978
116,103.171
117,97.526
118,105.716
119,106.585
120,104.035
121,109.242
122,107.546
123,174.31
124,176.49
125,105.775
126,106.529
127,175.09
128,103.568
129,104.487
130,108.205
131,104.955
132,106.199
133,105.141
134,104.659
135,103.864
136,97.592
137,104.153
138,104.176
139,177.08
140,176
141,174.47
142,175.94
143,175.17
144,104.623
145,103.788
146,105.969
147,104.004
148,176.59
149,164.4
150,100.876
151,106.546
152,106.481
153,106.022
154,105.7
155,172.83
156,175.95
157,175.97
158,174.41
159,103.965
160,97.497
161,106.546
162,105.694
163,105.945
164,102.609
165,173.05
166,104.452
167,105.891
