sample,Treatment,Basalt_type_exp,Dose_resp_exp,BD (g cm-3),Date
1,Control,Y,Y,1.2794,2025/10/31
2,Eifelgold_50,Y,N,1.2978,2025/10/31
3,Huhnerberg_2,N,Y,1.1923,2025/10/31
4,Bolsdorfer_50,Y,N,1.2964,2025/10/31
5,Huhnerberg_4,N,Y,1.27705,2025/10/31
6,Lime_2,Y,N,1.2866,2025/10/31
7,Huhnerberg_8,N,Y,1.3161,2025/10/31
8,Huhnerberg_12,N,Y,1.2708,2025/10/31
9,Huhnerberg_50,N,Y,1.28855,2025/10/31
10,Lime_2,Y,N,1.27615,2025/10/31
11,Control,Y,Y,1.2856,2025/10/31
12,Huhnerberg_20,N,Y,1.25355,2025/10/31
13,Eifelgold_50,Y,N,1.25975,2025/10/31
14,Huhnerberg_50,Y,Y,1.19115,2025/10/31
15,Bolsdorfer_50,Y,N,1.2655,2025/10/31
16,Huhnerberg_30,N,Y,1.23505,2025/10/31
17,Lime_2,Y,N,1.2045,2025/10/31
18,Control,Y,Y,1.22055,2025/10/31
19,Huhnerberg_50,Y,Y,1.2853,2025/10/31
20,Bolsdorfer_50,Y,N,1.1948,2025/10/31
21,Eifelgold_50,Y,N,1.17125,2025/10/31
1,Control,Y,Y,1.47685,2026/02/28
2,Eifelgold_50,Y,N,1.44195,2026/02/28
3,Huhnerberg_2,N,Y,1.3137,2026/02/28
4,Bolsdorfer_50,Y,N,1.64045,2026/02/28
5,Huhnerberg_4,N,Y,1.5326,2026/02/28
6,Lime_2,Y,N,1.4339,2026/02/28
7,Huhnerberg_8,N,Y,1.68235,2026/02/28
8,Huhnerberg_12,N,Y,1.68235,2026/02/28
9,Huhnerberg_50,N,Y,1.5016,2026/02/28
10,Lime_2,Y,N,1.6446,2026/02/28
11,Control,Y,Y,1.5961,2026/02/28
12,Huhnerberg_20,N,Y,1.49745,2026/02/28
13,Eifelgold_50,Y,N,1.6475,2026/02/28
14,Huhnerberg_50,Y,Y,1.4754,2026/02/28
15,Bolsdorfer_50,Y,N,1.5128,2026/02/28
16,Huhnerberg_30,N,Y,1.451,2026/02/28
17,Lime_2,Y,N,1.4293,2026/02/28
18,Control,Y,Y,1.54275,2026/02/28
19,Huhnerberg_50,Y,Y,1.4341,2026/02/28
20,Bolsdorfer_50,Y,N,1.50485,2026/02/28
21,Eifelgold_50,Y,N,1.4721,2026/02/28
