Sample,Mass soil (g),Mass tube,Mass tube + soil + water (a),Vol entrained H2O (mL),Corrected extract volume (mL),Al (mg/L),Ca (mg/L),Fe (mg/L),K (mg/L),Mg (mg/L),Mn (mg/L),Na (mg/L),Si (mg/L)
1,1.0966,8.3076,10.0618,0.6576,10.6576,26.76,32.04,0.7133,0.3775,1.351,2.549,0.2667,1.701
2,1.1059,8.4713,12.7102,3.133,13.133,19.8,42.63,0.448,1.177,1.823,2.514,4.147,9.088
3,1.0742,8.2083,12.7106,3.4281,13.4281,19.53,36.3,0.5401,0.562,1.859,2.23,0.4343,2.705
4,1.1072,8.301,11.6289,2.2207,12.2207,42.78,37.4,0.7386,8.984,2.032,1.849,14.92,35.26
5,1.2358,8.2082,11.9952,2.5512,12.5512,20.02,35.42,0.5442,0.5121,1.778,2.038,0.476,2.034
6,1.1898,8.3788,11.0848,1.5162,11.5162,22.94,39.45,0.7251,0.5103,1.715,2.435,0.3688,2.539
7,1.3206,8.3051,10.8613,1.2356,11.2356,31.05,35.99,0.8038,0.5137,1.933,2.384,0.4871,2.675
8,0.9566,8.2229,11.7021,2.5226,12.5226,20.2,22.37,0.6731,0.3495,1.254,1.672,0.4504,1.967
9,1.0339,8.4585,13.8584,4.366,14.366,16.14,32.16,0.5056,0.7346,2.558,1.947,2.068,5.888
10,1.1472,8.2194,12.5987,3.2321,13.2321,22.19,37.11,0.5258,0.5079,1.736,2.177,0.2522,2.799
11,0.9858,8.235,10.2874,1.0666,11.0666,24.11,17.56,0.7743,0.2557,0.8815,1.306,0.215,1.656
12,1.0233,8.2996,10.044,0.7211,10.7211,23.04,22.3,0.8328,0.4744,1.52,1.389,1.105,3.375
13,1.1461,8.3924,11.3226,1.7841,11.7841,26.36,23.3,0.8122,1.259,1.114,1.514,5.313,10.13
14,1.0932,8.2228,11.9628,2.6468,12.6468,15.46,32.48,0.9065,0.7667,2.388,1.988,1.61,5.869
15,1.0466,8.298,11.9994,2.6548,12.6548,22.71,28.51,0.968,4.646,1.629,1.262,7.828,19.91
16,1.1439,8.2882,10.8212,1.3891,11.3891,14.72,46.64,1.206,1.059,3.24,2.113,1.466,6.476
17,1.157,8.1987,10.9915,1.6358,11.6358,15.26,30.74,1.123,0.4284,1.246,1.172,0.2567,1.749
18,1.0172,8.1904,10.6382,1.4306,11.4306,13.39,18.92,1.104,0.2536,0.7302,0.8494,0.2323,0.7849
19,0.9547,8.3058,10.5687,1.3082,11.3082,17.96,25.72,1.317,0.5208,2.042,1.045,1.797,4.837
20,1.1572,8.2402,12.308,2.9106,12.9106,60.45,35.88,2.253,20.31,2.238,1.181,32.38,72.79
21,1.0489,8.2377,10.5776,1.291,11.291,27.69,26.19,1.468,1.816,1.392,1.417,8.577,16.11
