Sample,Mass soil (g),Mass tube,Mass tube + soil + water (c),Vol entrained H2O (mL),Corrected extract volume (mL),Al (mg/L),Ca (mg/L),Fe (mg/L),K (mg/L),Mg (mg/L),Mn (mg/L),Na (mg/L),Si (mg/L)
1,1.0966,8.3076,10.6447,1.2405,21.2405,1.868,NA,3.008,0.3118,0.2086,NA,0.0839,2.785
2,1.1059,8.4713,10.6412,1.064,21.064,4.297,0.4238,6.56,0.501,0.4869,NA,0.2328,4.178
3,1.0742,8.2083,10.3443,1.0618,21.0618,5.79,0.3176,7.021,0.5471,0.5325,NA,0.1212,6.709
4,1.1072,8.301,10.6907,1.2825,21.2825,2.25,0.5257,2.629,0.3274,0.4468,NA,0.109,3.031
5,1.2358,8.2082,10.671,1.227,21.227,2.599,0.2395,3.749,0.3886,0.295,NA,NA,3.499
6,1.1898,8.3788,10.822,1.2534,21.2534,3.508,0.1821,5.892,0.4583,0.4086,NA,NA,5.575
7,1.3206,8.3051,10.6545,1.0288,21.0288,3.086,0.1803,4.455,0.4375,0.3355,NA,NA,4.182
8,0.9566,8.2229,10.1875,1.008,21.008,1.785,0.1961,4.56,0.4134,0.3088,NA,NA,3.851
9,1.0339,8.4585,11.4057,1.9133,21.9133,3.153,0.5122,3.879,0.5132,0.6677,NA,0.2033,4.35
10,1.1472,8.2194,11.0027,1.6361,21.6361,4.741,0.4303,6.699,0.6412,0.4843,NA,0.1394,5.956
11,0.9858,8.235,9.4726,0.2518,20.2518,1.716,0.1769,3.006,0.3383,0.226,NA,NA,2.749
12,1.0233,8.2996,9.5118,0.1889,20.1889,1.235,0.2683,1.714,0.3309,0.2494,NA,0.1066,2.234
13,1.1461,8.3924,11.4527,1.9142,21.9142,2.411,0.3707,3.917,0.5204,0.5171,NA,0.1186,4.062
14,1.0932,8.2228,10.6336,1.3176,21.3176,3.087,0.5786,5.042,0.4822,0.5987,NA,0.1605,5.028
15,1.0466,8.298,11.1892,1.8446,21.8446,2.529,0.4514,5.779,0.5286,0.4937,NA,NA,5.879
16,1.1439,8.2882,11.6662,2.2341,22.2341,2.277,0.4143,4.498,0.3511,0.4421,NA,NA,3.611
17,1.157,8.1987,11.2069,1.8512,21.8512,2.289,0.2856,4.496,0.4334,0.3133,NA,NA,3.827
18,1.0172,8.1904,10.8811,1.6735,21.6735,0.9323,0.1078,2.064,0.2655,0.1596,NA,NA,2.089
19,0.9547,8.3058,10.3757,1.1152,21.1152,1.774,0.2687,3.811,0.3029,0.4601,NA,NA,3.12
20,1.1572,8.2402,13.8318,4.4344,24.4344,3.392,1.307,5.692,0.5043,1.026,NA,0.1394,4.885
21,1.0489,8.2377,10.4265,1.1399,21.1399,3.141,0.5304,4.94,0.5975,0.7842,NA,0.1555,4.952
