Sample,Mass soil (g),Mass tube,Mass tube + soil + water (b),Vol entrained H2O (mL),Corrected extract volume (mL),Al (mg/L),Ca (mg/L),Fe (mg/L),K (mg/L),Mg (mg/L),Mn (mg/L),Na (mg/L),Si (mg/L)
1,1.0966,8.3076,10.1939,0.7897,20.7897,87.74,3.8611,58.54,3.382,4.353,2.985,0.305,30.25
2,1.1059,8.4713,10.5766,0.9994,20.9994,122.1,7.8981,82.48,8.237,8.636,4.031,0.985,40.74
3,1.0742,8.2083,11.2839,2.0014,22.0014,134.3,6.4851,87.41,5.266,9.258,3.412,0.2917,57.13
4,1.1072,8.301,11.7802,2.372,22.372,104,8.5741,53.54,4.171,10.07,2.877,0.7016,36.06
5,1.2358,8.2082,11.4049,1.9609,21.9609,112.5,5.4501,64.33,3.695,7.259,3.127,0.768,34.75
6,1.1898,8.3788,11.9122,2.3436,22.3436,118.9,5.1151,79.09,4.826,8.803,2.833,0.1791,50.35
7,1.3206,8.3051,11.2387,1.613,21.613,116.6,4.7261,72.31,4.524,8.002,3.106,0.3538,42.16
8,0.9566,8.2229,10.6495,1.47,21.47,89.11,3.1021,67.72,4.143,7.749,2.029,0.289,39.41
9,1.0339,8.4585,11.5424,2.05,22.05,121.5,9.1931,75.52,4.44,31.49,3.762,1.645,53.46
10,1.1472,8.2194,12.5145,3.1479,23.1479,131.1,5.6831,78.32,5.112,6.628,3.523,0.2577,47.56
11,0.9858,8.235,12.8626,3.6418,23.6418,53.25,1.5621,36.58,2.242,3.362,0.9708,0.0286,23.2
12,1.0233,8.2996,10.4491,1.1262,21.1262,61.27,2.8941,37.08,2.407,11.23,1.167,0.4401,29.09
13,1.1461,8.3924,11.466,1.9275,21.9275,80.65,5.1711,53.13,8.846,8.52,1.869,0.936,37.57
14,1.0932,8.2228,12.7046,3.3886,23.3886,88.06,6.0361,70.74,4.328,19.92,1.913,0.928,47.97
15,1.0466,8.298,10.6562,1.3116,21.3116,96.88,6.2351,92.43,6.863,10.48,1.388,0.82,57.23
16,1.1439,8.2882,12.3874,2.9553,22.9553,63.72,6.5321,66.03,3.266,13.77,1.402,0.5535,34.03
17,1.157,8.1987,10.7173,1.3616,21.3616,71.11,4.6331,62.01,3.717,4.817,1.105,0.125,34.22
18,1.0172,8.1904,11.0231,1.8155,21.8155,41.21,2.8941,36.81,2.019,2.327,0.7133,0.0039,17.57
19,0.9547,8.3058,11.6033,2.3428,22.3428,54.77,5.2821,53.21,2.53,14.72,0.9048,0.666,28.26
20,1.1572,8.2402,15.1073,5.7099,25.7099,82.28,13.8961,59.16,5.857,14.22,0.9818,1.734,35.78
21,1.0489,8.2377,12.9932,3.7066,23.7066,69.8,6.2691,54.02,9.463,9.88,0.7976,1.329,35.44
