Sample,Mass soil (g),Mass tube,Corrected extract volume (mL),Al (mg/L),Ca (mg/L),Fe (mg/L),K (mg/L),Mg (mg/L),Mn (mg/L),Na (mg/L),Si (mg/L)
1,1.0966,8.3076,10,0.1461,70.26,0.1198,5.913,8.267,0.302,0.97,0.156
2,1.1059,8.4713,10,0.2097,107.6,0.09,6.863,12.06,0.2684,1.186,0.2706
3,1.0742,8.2083,10,0.1749,101.7,0.0911,12.92,13.21,0.2797,1.026,0.2799
4,1.1072,8.301,10,0.0755,83.19,0.0799,9.838,10.15,0.1802,2.227,0.5119
5,1.2358,8.2082,10,0.1529,91.3,0.1117,6.011,11.44,0.2415,0.7331,0.2079
6,1.1898,8.3788,10,0.1306,103.5,0.0935,8.878,11.41,0.2494,0.7766,0.2437
7,1.3206,8.3051,10,0.2192,90.35,0.1072,8.641,11.75,0.2423,0.947,0.2036
8,0.9566,8.2229,10,0.0794,70.51,0.0858,4.706,9.641,0.1709,0.5807,0.1642
9,1.0339,8.4585,10,0.2484,78.51,0.1371,5.54,12.54,0.1813,0.845,0.2404
10,1.1472,8.2194,10,0.1668,95.33,0.0805,5.866,10.16,0.1441,0.5827,0.2479
11,0.9858,8.235,10,0.1496,71.53,0.0877,5.662,8.374,0.1603,0.5731,0.2007
12,1.0233,8.2996,10,0.1512,78.46,0.0879,8.112,11.35,0.2247,0.7918,0.2106
13,1.1461,8.3924,10,0.093,64.08,0.0756,6.015,7.624,0.2062,0.894,0.2134
14,1.0932,8.2228,10,0.1124,98.72,0.0989,6.725,12.24,0.2089,0.622,0.3268
15,1.0466,8.298,10,0.1106,87.16,0.0974,9.762,10.25,0.1234,1.165,0.4369
16,1.1439,8.2882,10,NA,109.3,0.0968,4.421,10.73,0.1259,0.6511,0.3999
17,1.157,8.1987,10,0.0984,84.63,0.0992,5.077,8.222,0.1464,0.4991,0.2113
18,1.0172,8.1904,10,NA,54.23,0.0768,3.901,5.806,0.1232,0.4496,0.1196
19,0.9547,8.3058,10,NA,67.36,0.098,2.88,9.09,0.1153,0.6604,0.157
20,1.1572,8.2402,10,0.082,91.01,0.1129,8.641,9.738,0.1485,1.541,0.4646
21,1.0489,8.2377,10,0.0905,68.97,0.1045,4.574,7.653,0.2224,0.8075,0.2275
