Sample name,Parameter,Result (%)
18_2026_MAOM,Ctotal,0.86
18_2026_MAOM,Ntotal,0.06
1_2026_MAOM,Ctotal,1.23
1_2026_MAOM,Ntotal,0.09
6_2026_MAOM,Ctotal,1.4
6_2026_MAOM,Ntotal,0.1
20_2025_MAOM,Ctotal,0.96
20_2025_MAOM,Ntotal,0.07
18_2025_MAOM,Ctotal,0.98
18_2025_MAOM,Ntotal,0.07
19_2025_MAOM,Ctotal,0.66
19_2025_MAOM,Ntotal,0.05
11_2026_MAOM,Ctotal,1.29
11_2026_MAOM,Ntotal,0.09
17_2025_MAOM,Ctotal,0.87
17_2025_MAOM,Ntotal,0.07
4_2025_MAOM,Ctotal,1.44
4_2025_MAOM,Ntotal,0.1
13_2025_MAOM,Ctotal,1.15
13_2025_MAOM,Ntotal,0.09
15_2025_MAOM,Ctotal,1.27
15_2025_MAOM,Ntotal,0.1
13_2026_MAOM,Ctotal,1.01
13_2026_MAOM,Ntotal,0.07
19_2026_MAOM,Ctotal,0.5
19_2026_MAOM,Ntotal,0.04
15_2026_MAOM,Ctotal,1.26
15_2026_MAOM,Ntotal,0.1
16_2025_MAOM,Ctotal,0.7
16_2025_MAOM,Ntotal,0.05
8_2025_MAOM,Ctotal,1.22
8_2025_MAOM,Ntotal,0.1
10_2026_MAOM,Ctotal,1
10_2026_MAOM,Ntotal,0.08
2_2026_MAOM,Ctotal,1.14
2_2026_MAOM,Ntotal,0.09
12_2026_MAOM,Ctotal,1.06
12_2026_MAOM,Ntotal,0.08
21_2023_MAOM,Ctotal,1.04
21_2023_MAOM,Ntotal,0.08
21_2026_MAOM,Ctotal,1.02
21_2026_MAOM,Ntotal,0.08
6_2025_MAOM,Ctotal,1.56
6_2025_MAOM,Ntotal,0.12
1_2025_MAOM,Ctotal,1
1_2025_MAOM,Ntotal,0.08
5_2023_MAOM,Ctotal,1.03
5_2023_MAOM,Ntotal,0.08
7_2025_MAOM,Ctotal,1.32
7_2025_MAOM,Ntotal,0.1
7_2026_MAOM,Ctotal,1.31
7_2026_MAOM,Ntotal,0.1
16_2026_MAOM,Ctotal,0.71
16_2026_MAOM,Ntotal,0.05
12_2025_MAOM,Ctotal,1.03
12_2025_MAOM,Ntotal,0.08
11_2023_MAOM,Ctotal,1.16
11_2023_MAOM,Ntotal,0.08
21_2025_MAOM,Ctotal,1.18
21_2025_MAOM,Ntotal,0.09
5_2026_MAOM,Ctotal,1.14
5_2026_MAOM,Ntotal,0.08
17_2023_MAOM,Ctotal,0.76
17_2023_MAOM,Ntotal,0.06
8_2026_MAOM,Ctotal,1.47
8_2026_MAOM,Ntotal,0.11
4_2026_MAOM,Ctotal,1.24
4_2026_MAOM,Ntotal,0.09
20_2026_MAOM,Ctotal,0.6
20_2026_MAOM,Ntotal,0.05
14_2025_MAOM,Ctotal,1.06
14_2025_MAOM,Ntotal,0.09
15_2023_MAOM,Ctotal,1.37
15_2023_MAOM,Ntotal,0.11
9_2026_MAOM,Ctotal,0.96
9_2026_MAOM,Ntotal,0.08
10_2025_MAOM,Ctotal,0.86
10_2025_MAOM,Ntotal,0.07
3_2026_MAOM,Ctotal,1.45
3_2026_MAOM,Ntotal,0.1
14_2026_MAOM,Ctotal,1.16
14_2026_MAOM,Ntotal,0.1
1_2023_MAOM,Ctotal,1.1
1_2023_MAOM,Ntotal,0.08
2_2025_MAOM,Ctotal,1.28
2_2025_MAOM,Ntotal,0.09
11_2025_MAOM,Ctotal,1.31
11_2025_MAOM,Ntotal,0.1
9_2025_MAOM,Ctotal,0.8
9_2025_MAOM,Ntotal,0.06
11_2026_Bulk,Ctotal,2.08
11_2026_Bulk,Ntotal,0.14
4_2026_Bulk,Ctotal,2.29
4_2026_Bulk,Ntotal,0.15
21_2026_Bulk,Ctotal,1.91
21_2026_Bulk,Ntotal,0.13
10_2026_Bulk,Ctotal,2.08
10_2026_Bulk,Ntotal,0.14
2_2026_Bulk,Ctotal,2.39
2_2026_Bulk,Ntotal,0.15
15_2026_Bulk,Ctotal,1.89
15_2026_Bulk,Ntotal,0.14
3_2026_Bulk,Ctotal,2.73
3_2026_Bulk,Ntotal,0.19
18_2026_Bulk,Ctotal,1.98
18_2026_Bulk,Ntotal,0.14
1_2026_Bulk,Ctotal,1.87
1_2026_Bulk,Ntotal,0.13
8_2026_Bulk,Ctotal,2.34
8_2026_Bulk,Ntotal,0.17
21_2023_Bulk,Ctotal,2.03
21_2023_Bulk,Ntotal,0.15
9_2026_Bulk,Ctotal,1.86
9_2026_Bulk,Ntotal,0.14
17_2026_Bulk,Ctotal,2.05
17_2026_Bulk,Ntotal,0.15
13_2026_Bulk,Ctotal,1.81
13_2026_Bulk,Ntotal,0.14
20_2026_Bulk,Ctotal,2.1
20_2026_Bulk,Ntotal,0.13
19_2026_Bulk,Ctotal,1.88
19_2026_Bulk,Ntotal,0.13
15_2023_Bulk,Ctotal,2.17
15_2023_Bulk,Ntotal,0.16
6_2026_Bulk,Ctotal,2.14
6_2026_Bulk,Ntotal,0.16
17_2023_Bulk,Ctotal,2.04
17_2023_Bulk,Ntotal,0.15
11_2023_Bulk,Ctotal,2.57
11_2023_Bulk,Ntotal,0.18
7_2026_Bulk,Ctotal,2.32
7_2026_Bulk,Ntotal,0.17
16_2026_Bulk,Ctotal,2.5
16_2026_Bulk,Ntotal,0.15
1_2023_Bulk,Ctotal,2.22
1_2023_Bulk,Ntotal,0.16
12_2026_Bulk,Ctotal,1.97
12_2026_Bulk,Ntotal,0.14
14_2026_Bulk,Ctotal,2.26
14_2026_Bulk,Ntotal,0.17
5_2023_Bulk,Ctotal,2.33
5_2023_Bulk,Ntotal,0.17
5_2026_Bulk,Ctotal,2.14
5_2026_Bulk,Ntotal,0.15
5_2025_MAOM,Ctotal,1.32
5_2025_MAOM,Ntotal,0.1
17_2026_MAOM,Ctotal,0.92
17_2026_MAOM,Ntotal,0.07
3_2025_MAOM,Ctotal,1.52
3_2025_MAOM,Ntotal,0.11
