Sample name,Parameter,Result (%)
1_2023_fPOM,Ctotal,28.87365341
1_2023_fPOM,Ntotal,1.788713574
5_2023_fPOM,Ctotal,28.21786118
5_2023_fPOM,Ntotal,1.791419148
11_2023_fPOM,Ctotal,15.61766243
11_2023_fPOM,Ntotal,1.041933417
15_2023_fPOM,Ctotal,10.11395168
15_2023_fPOM,Ntotal,0.567053199
17_2023_fPOM,Ctotal,23.25913811
17_2023_fPOM,Ntotal,1.450963497
21_2023_fPOM,Ctotal,21.52629471
21_2023_fPOM,Ntotal,1.230434418
1_2025_fPOM,Ctotal,21.98509598
1_2025_fPOM,Ntotal,1.365091085
2_2025_fPOM,Ctotal,21.82302094
2_2025_fPOM,Ntotal,1.283495307
3_2025_fPOM,Ctotal,30.473629
3_2025_fPOM,Ntotal,2.124560833
4_2025_fPOM,Ctotal,21.38476563
4_2025_fPOM,Ntotal,1.256199718
5_2025_fPOM,Ctotal,19.28105164
5_2025_fPOM,Ntotal,1.199260235
7_2025_fPOM,Ctotal,17.69569206
7_2025_fPOM,Ntotal,1.035994768
8_2025_fPOM,Ctotal,15.37314892
8_2025_fPOM,Ntotal,0.949081898
9_2025_fPOM,Ctotal,9.190379143
9_2025_fPOM,Ntotal,0.62626487
11_2025_fPOM,Ctotal,14.92877674
11_2025_fPOM,Ntotal,0.927558482
12_2025_fPOM,Ctotal,22.21256638
12_2025_fPOM,Ntotal,1.374686241
13_2025_fPOM,Ctotal,7.258448601
13_2025_fPOM,Ntotal,0.4321931
14_2025_fPOM,Ctotal,15.09079266
14_2025_fPOM,Ntotal,0.984763682
15_2025_fPOM,Ctotal,8.796712875
15_2025_fPOM,Ntotal,0.576711416
16_2025_fPOM,Ctotal,19.54231834
16_2025_fPOM,Ntotal,1.318921447
18_2025_fPOM,Ctotal,10.60915661
18_2025_fPOM,Ntotal,0.703992665
19_2025_fPOM,Ctotal,20.75147247
19_2025_fPOM,Ntotal,1.313457489
20_2025_fPOM,Ctotal,18.01354027
20_2025_fPOM,Ntotal,1.188598275
21_2025_fPOM,Ctotal,28.54483604
21_2025_fPOM,Ntotal,1.577027202
1_2026_fPOM,Ctotal,11.23240089
1_2026_fPOM,Ntotal,0.700104237
2_2026_fPOM,Ctotal,13.38288975
2_2026_fPOM,Ntotal,0.76311183
3_2026_fPOM,Ctotal,19.94973373
3_2026_fPOM,Ntotal,1.089537144
4_2026_fPOM,Ctotal,28.28293228
4_2026_fPOM,Ntotal,1.572709084
5_2026_fPOM,Ctotal,25.44186401
5_2026_fPOM,Ntotal,1.516656876
7_2026_fPOM,Ctotal,17.68780327
7_2026_fPOM,Ntotal,1.065663695
8_2026_fPOM,Ctotal,21.75750923
8_2026_fPOM,Ntotal,1.269281149
9_2026_fPOM,Ctotal,29.63914108
