"Sampled_on","Tmt","App_rate","mean_pH","se_pH","mean_EC_µS_cm","se_EC_µS_cm","mean_DOC","se_DOC","mean_DIC","se_DIC","mean_Alkalinity_meq_l","se_Alkalinity_meq_l","mean_NO2.N_mgN_l","se_NO2.N_mgN_l","mean_NH4.N_mgN_l","se_NH4.N_mgN_l","mean_NO3.N_mgN_l","se_NO3.N_mgN_l","mean_PO4.P_mgP_l","se_PO4.P_mgP_l","mean_Cl_mgCl_l","se_Cl_mgCl_l","mean_Ca_mg_l","se_Ca_mg_l","mean_Fe_mg_l","se_Fe_mg_l","mean_K_mg_l","se_K_mg_l","mean_Mg_mg_l","se_Mg_mg_l","mean_Na_mg_l","se_Na_mg_l","mean_Ni_mg_l","se_Ni_mg_l","mean_P_mg_l","se_P_mg_l","mean_Al_mg_l","se_Al_mg_l","mean_Si_mg_l","se_Si_mg_l"
2023-04-25,"Bolsdorfer","50",6.91666666666667,0.101050042608161,222.7,62.9501654750274,25.996,NA,2.602,NA,0.36,0.0850490054811538,0.00123333333333333,0.000635959467611297,0.34,0.305013660896251,0.55,0.209816586570271,0.656333333333333,0.263505428997414,2,0.5,6.85,0.285773803324704,0.09,0.00816496580927726,2.08,0.963465965494717,2.05,0.114309521329882,0.775,0.200041662327293,0.002,0,NA,NA,0.145,0.000816496580927727,NA,NA
2023-04-25,"Control","0",7.16333333333333,0.0284800124843918,197.1,7.64133496190292,5.899,NA,0,NA,0.406666666666667,0.0448454134902457,7e-04,0.000489897948556636,0.13,0.0898146239020499,0.418,0.0481732982747358,0.568,0.112676528168026,1.5,0,6.5,0.0816496580927723,0.145,0.0612372435695795,7.68,5.74813592973119,2.23,0.130639452948436,0.985,0.608289952791156,0.0015,0.000408248290463863,NA,NA,0.284,0.158400336699979,NA,NA
2023-04-25,"Eifelgold","50",6.93,0.105356537528527,166.466666666667,27.3176581068811,27.124,NA,4.15,NA,0.25,0.102143689640297,7e-04,0.000489897948556636,0.165,0.077567175188134,0.5995,0.113901273039418,0.420333333333333,0.00959745336592531,1.5,0,8.5,1.30511813003013,0.1,0.0208166599946613,3.35666666666667,2.06382600472467,2.51666666666667,0.279424010739553,0.96,0.403360880601974,0.00333333333333333,0.000881917103688197,NA,NA,0.228666666666667,0.0644885864147895,NA,NA
2023-04-25,"Huhnerberg","02",NA,NA,NA,NA,30.716,NA,8.265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-04-25,"Huhnerberg","04",6.84,NA,154.4,NA,18.3,NA,2.785,NA,0.26,NA,0.0028,NA,0.13,NA,0.387,NA,0.494,NA,1.5,NA,7.5,NA,0.11,NA,2.24,NA,2.47,NA,1.09,NA,0.003,NA,NA,NA,0.285,NA,NA,NA
2023-04-25,"Huhnerberg","08",6.99,NA,160.8,NA,35.499,NA,7.416,NA,0.21,NA,4e-04,NA,0.11,NA,0.309,NA,0.176,NA,1.5,NA,8.3,NA,0.13,NA,1.97,NA,2.6,NA,0.99,NA,0.002,NA,NA,NA,0.49,NA,NA,NA
2023-04-25,"Huhnerberg","12",6.81,NA,193.5,NA,NA,NA,NA,NA,0.41,NA,0.0012,NA,0.26,NA,0.364,NA,0.886,NA,1.5,NA,7.9,NA,0.18,NA,6.23,NA,3.18,NA,1.67,NA,0.002,NA,NA,NA,0.283,NA,NA,NA
2023-04-25,"Huhnerberg","20",6.9,NA,167,NA,NA,NA,NA,NA,0.22,NA,1e-04,NA,0.09,NA,0.576,NA,0.383,NA,1.5,NA,8.1,NA,0.06,NA,2.14,NA,3.06,NA,0.95,NA,0.001,NA,NA,NA,0.157,NA,NA,NA
2023-04-25,"Huhnerberg","30",7.24,NA,207.2,NA,NA,NA,NA,NA,0.33,NA,0.0012,NA,0.15,NA,0.574,NA,NA,NA,NA,NA,10.2,NA,0.21,NA,5.4,NA,2.63,NA,1.77,NA,0.005,NA,NA,NA,0.136,NA,NA,NA
2023-04-25,"Huhnerberg","50",6.91333333333333,0.0120185042515467,172.4,25.7748585511799,NA,NA,NA,NA,0.343333333333333,0.14379769740082,0.0034,0.00207444771766688,0.123333333333333,0.00333333333333334,0.409333333333333,0.083955014409173,0.643,0.0841566000580664,2,0.5,9.36666666666667,1.97005358077163,0.11,0.00577350269189626,3.45666666666667,1.00505942333996,3.01666666666667,0.513495645334776,0.836666666666667,0.22191089302791,0.00266666666666667,0.000881917103688197,NA,NA,0.186666666666667,0.0201852531429369,NA,NA
2023-04-25,"Lime","02",6.73333333333333,0.0693621734889492,151.766666666667,4.18821096783712,25.412,NA,3.143,NA,0.243333333333333,0.0484194634877798,0.00146666666666667,0.000913479307069648,0.09,0.0208166599946613,0.388666666666667,0.0787534831681184,0.372333333333333,0.110505404593823,1.5,0,7.9,0.360555127546399,0.1,0.0152752523165195,1.85666666666667,0.198354340624158,2.40333333333333,0.0520683311727111,0.693333333333333,0.116952031952326,0.00266666666666667,0.000881917103688197,NA,NA,0.220666666666667,0.0219418423211098,NA,NA
2023-06-20,"Bolsdorfer","50",7.43,0.0173205080756887,1129.46666666667,566.636407035215,26.9043333333333,1.73957095604379,5.245,1.50218374375441,0.516666666666667,0.0898764584180851,0.00806666666666667,0.00731809021838652,17.5433333333333,16.595844191979,108.83,72.285841628911,0.37,0.0602771377334171,38.6666666666667,15.8359646936263,86.9333333333333,46.9256267347006,0.066,0.00650640709864771,57.5666666666667,16.0094069568835,27.7333333333333,13.8352609098797,23.3,8.53365884795809,0.00466666666666667,0.000666666666666667,0.523333333333333,0.0371184290855335,0.174333333333333,0.0485294870270757,7.56666666666667,1.98017956537055
2023-06-20,"Control","0",6.80333333333333,0.190292173015895,2039.8,698.877700316729,43.4003333333333,9.55366792272883,3.18766666666667,0.522670174307958,0.263333333333333,0.128105859003838,0.000566666666666667,6.66666666666667e-05,49.11,21.9111896832037,205.806666666667,77.8604149174091,0.366666666666667,0.298682291257971,64.3333333333333,21.987370112054,162.2,56.4784029519249,0.0646666666666667,0.0251815629203414,73.8333333333333,23.4862607591001,55.6,18.1731486906736,14.6666666666667,4.48491298069923,0.00666666666666667,0.00145296631451356,0.846666666666667,0.577706192146531,0.174666666666667,0.0265664784602284,5.06666666666667,0.290593262902712
2023-06-20,"Eifelgold","50",7.28666666666667,0.0635959467611299,997.933333333333,384.201363581362,40.7146666666667,12.5909325883528,7.12166666666667,1.67445934889776,0.693333333333333,0.186755931037753,0.000733333333333333,3.33333333333334e-05,2.81,1.56038456798316,51.9833333333333,26.4895830678988,0.62,0.1955334583475,125,52.0480547186924,86.3666666666667,36.1019082290366,0.108666666666667,0.0607106067979705,41.4666666666667,10.6672916483572,31.1,12.7754973810546,25.0333333333333,8.27875460306547,0.00633333333333333,0.000881917103688197,1.09,0.236713610367747,0.205666666666667,0.137410981285259,7.8,0.850490054811538
