"Pot","Plot","Tmt","App_rate","Basalt_type_exp","Dose_response_exp.","pH","EC","Date","Daysafterstart"
"10A","10","Lime","02","Y","N",6.57,68.49,2023-04-19,-35
"10B","10","Lime","02","Y","N",6.91,61.66,2023-04-19,-35
"10C","10","Lime","02","Y","N",6.81,53.2,2023-04-19,-35
"11A","11","Control","0","Y","Y",6.85,60.99,2023-04-19,-35
"11B","11","Control","0","Y","Y",6.91,40.12,2023-04-19,-35
"11C","11","Control","0","Y","Y",7.01,60.91,2023-04-19,-35
"12A","12","Huhnerberg","20","N","Y",7.06,76.55,2023-04-19,-35
"12B","12","Huhnerberg","20","N","Y",6.56,53.5,2023-04-19,-35
"12C","12","Huhnerberg","20","N","Y",6.52,49.23,2023-04-19,-35
"13A","13","Eifelgold","50","Y","N",6.33,38.85,2023-04-19,-35
"13B","13","Eifelgold","50","Y","N",6.12,39.62,2023-04-19,-35
"13C","13","Eifelgold","50","Y","N",6.43,51.98,2023-04-19,-35
"14A","14","Huhnerberg","50","Y","Y",6.82,49.69,2023-04-19,-35
"14B","14","Huhnerberg","50","Y","Y",6.6,55.8,2023-04-19,-35
"14C","14","Huhnerberg","50","Y","Y",6.8,80.22,2023-04-19,-35
"15B","15","Bolsdorfer","50","Y","N",6.28,48.17,2023-04-19,-35
"15B","15","Bolsdorfer","50","Y","N",6.69,63.36,2023-04-19,-35
"15C","15","Bolsdorfer","50","Y","N",6.62,42.64,2023-04-19,-35
"16A","16","Huhnerberg","30","N","Y",6.86,58.58,2023-04-19,-35
"16B","16","Huhnerberg","30","N","Y",7.26,55.97,2023-04-19,-35
"16C","16","Huhnerberg","30","N","Y",7.12,47.55,2023-04-19,-35
"17A","17","Lime","02","Y","N",7,50.1,2023-04-19,-35
"17B","17","Lime","02","Y","N",6.82,39.5,2023-04-19,-35
"17C","17","Lime","02","Y","N",6.81,46.75,2023-04-19,-35
"18A","18","Control","0","Y","Y",6.66,57.27,2023-04-19,-35
"18B","18","Control","0","Y","Y",6.41,63.41,2023-04-19,-35
"18C","18","Control","0","Y","Y",6.67,21.57,2023-04-19,-35
"19A","19","Huhnerberg","50","Y","Y",6.4,36.95,2023-04-19,-35
"19B","19","Huhnerberg","50","Y","Y",6.62,66.11,2023-04-19,-35
"19C","19","Huhnerberg","50","Y","Y",6.85,50.34,2023-04-19,-35
"1A","1","Control","0","Y","Y",6.53,64.59,2023-04-19,-35
"1B","1","Control","0","Y","Y",6.48,67.91,2023-04-19,-35
"1C","1","Control","0","Y","Y",6.51,31.1,2023-04-19,-35
"20A","20","Bolsdorfer","50","Y","N",6.44,31.22,2023-04-19,-35
"20B","20","Bolsdorfer","50","Y","N",6.88,60.76,2023-04-19,-35
"20C","20","Bolsdorfer","50","Y","N",6.72,28.29,2023-04-19,-35
"21A","21","Eifelgold","50","Y","N",6.75,33.92,2023-04-19,-35
"21B","21","Eifelgold","50","Y","N",6.31,58.01,2023-04-19,-35
"21C","21","Eifelgold","50","Y","N",6.66,55.96,2023-04-19,-35
"2A","2","Eifelgold","50","Y","N",6.97,38.69,2023-04-19,-35
"2B","2","Eifelgold","50","Y","N",6.75,82.33,2023-04-19,-35
"2C","2","Eifelgold","50","Y","N",7.06,73.74,2023-04-19,-35
"3A","3","Huhnerberg","02","N","Y",6.6,71.56,2023-04-19,-35
"3B","3","Huhnerberg","02","N","Y",6.61,95.26,2023-04-19,-35
"3C","3","Huhnerberg","02","N","Y",6.95,60.72,2023-04-19,-35
"4A","4","Bolsdorfer","50","Y","N",6.29,65.01,2023-04-19,-35
"4B","4","Bolsdorfer","50","Y","N",6.55,61.97,2023-04-19,-35
"4C","4","Bolsdorfer","50","Y","N",6.42,56.7,2023-04-19,-35
"5A","5","Huhnerberg","04","N","Y",6.57,60.85,2023-04-19,-35
