"sample","Plot","Sampling_year","SOM_fraction","Tmt","App_rate","fraction_prop","Ctotal","Ntotal","CN","Cprop","Nprop","X.14C....."
"1_2023_Bulk",1,2023,"Bulk","Control",0,100,2.22,0.16,13.875,100,100,-72.26
"1_2023_MAOM",1,2023,"MAOM","Control",0,97.3403537194545,1.1,0.08,13.75,48.2317067979279,48.6701768597273,NA
"1_2023_fPOM",1,2023,"fPOM","Control",0,0.992304576751759,28.87365341,1.788713574,16.1421335588299,12.9060623541834,11.0934291623637,-63.87
"1_2023_oPOM",1,2023,"oPOM","Control",0,1.66734170379371,36.53,2.39,15.2845188284519,27.4360326304433,24.9059167004185,-57.09
"5_2023_Bulk",5,2023,"Bulk","Control",0,100,2.33,0.17,13.7058823529412,100,100,-72.67
"5_2023_MAOM",5,2023,"MAOM","Control",0,97.0537261698441,1.03,0.08,12.875,42.9035785214332,45.6723417269855,NA
"5_2023_fPOM",5,2023,"fPOM","Control",0,0.987114761510062,28.21786118,1.791419148,15.7516800082791,11.9546211626694,10.4019781473093,NA
"5_2023_oPOM",5,2023,"oPOM","Control",0,1.95915906864585,38.9,2.54,15.3149606299213,32.7087071975638,29.272141378591,-49.94
"11_2023_Bulk",11,2023,"Bulk","Control",0,100,2.57,0.18,14.2777777777778,100,100,-64.63
"11_2023_MAOM",11,2023,"MAOM","Control",0,93.0611358453684,1.16,0.08,14.5,42.0042480858472,41.3605048201638,NA
"11_2023_fPOM",11,2023,"fPOM","Control",0,1.97632750570111,15.61766243,1.041933417,14.9891175147903,12.0099672510365,11.4400092840347,NA
"11_2023_oPOM",11,2023,"oPOM","Control",0,4.96253664893045,38.55,2.48,15.5443548387097,74.4380497339568,68.3727271630418,-45.1
"15_2023_Bulk",15,2023,"Bulk","Control",0,100,2.17,0.16,13.5625,100,100,-71.53
"15_2023_MAOM",15,2023,"MAOM","Control",0,96.4411027568922,1.37,0.11,12.4545454545455,60.8867791598813,66.3032581453634,NA
"15_2023_fPOM",15,2023,"fPOM","Control",0,1.78446115288218,10.11395168,0.567053199,17.8359838156913,8.31702943552416,6.32427753270666,-110.65
"15_2023_oPOM",15,2023,"oPOM","Control",0,1.77443609022563,40.05,2.52,15.8928571428571,32.7493849831965,27.9473684210537,-33.48
"17_2023_Bulk",17,2023,"Bulk","Control",0,100,2.04,0.15,13.6,100,100,-40.39
"17_2023_MAOM",17,2023,"MAOM","Control",0,97.0483005366724,0.76,0.06,12.6666666666667,36.1552492195446,38.8193202146689,NA
"17_2023_fPOM",17,2023,"fPOM","Control",0,2.31440071556359,23.25913811,1.450963497,16.0301331894913,26.3877283750864,22.387406371423,-89.4
"17_2023_oPOM",17,2023,"oPOM","Control",0,0.637298747764045,39.56,2.77,14.2815884476534,12.3585972850714,11.7687835420427,-24.67
"21_2023_Bulk",21,2023,"Bulk","Control",0,100,2.03,0.15,13.5333333333333,100,100,NA
"21_2023_MAOM",21,2023,"MAOM","Control",0,94.8943293576063,1.04,0.08,13,48.6158140551284,50.6103089907234,NA
"21_2023_fPOM",21,2023,"fPOM","Control",0,1.10901862314286,21.52629471,1.230434418,17.4948736763961,11.7601289264294,9.09716456078633,-117.95
"21_2023_oPOM",21,2023,"oPOM","Control",0,3.9966520192508,23.26,1.55,15.0064516129032,45.7941507230412,41.2987375322583,-27.31
"1_2025_Bulk",1,2025,"Bulk","Control",0,100,1.758235097,0.171819937666667,11.133139717343,100,100,-88.08
"1_2025_MAOM",1,2025,"MAOM","Control",0,95.0378469301936,1,0.08,12.5,54.052980225655,44.2499738835052,NA
"1_2025_fPOM",1,2025,"fPOM","Control",0,1.09335576114366,21.98509598,1.365091085,16.1052227368403,13.6713977499616,8.68659494665942,-58.78
"1_2025_oPOM",1,2025,"oPOM","Control",0,3.8687973086627,23.75,1.53,15.5228758169935,52.259186634095,34.4503668354099,-54.54
"2_2025_Bulk",2,2025,"Bulk","Eifelgold",50,100,2.53305415266667,0.213078048333333,11.9169764789029,100,100,-89.95
"2_2025_MAOM",2,2025,"MAOM","Eifelgold",50,93.547450904518,1.28,0.09,14.2222222222222,47.2712898900034,39.5126135576188,NA
"2_2025_fPOM",2,2025,"fPOM","Eifelgold",50,0.977072651639598,21.82302094,1.283495307,17.0028054025444,8.4177738222394,5.88548737322599,-64.73
"2_2025_oPOM",2,2025,"oPOM","Eifelgold",50,5.47547644384241,32.49,2.09,15.5454545454545,70.2307250214758,53.706826475754,-72.33
"3_2025_Bulk",3,2025,"Bulk","Huhnerberg",2,100,3.221543094,0.286069034666667,11.299039442774,100,100,-96.58
"3_2025_MAOM",3,2025,"MAOM","Huhnerberg",2,93.3037131069501,1.52,0.11,13.8181818181818,44.0228920689285,35.8773834215354,NA
"3_2025_fPOM",3,2025,"fPOM","Huhnerberg",2,1.0790225325294,30.473629,2.124560833,14.3434956187955,10.206826784401,8.01362165327551,-30.12
"3_2025_oPOM",3,2025,"oPOM","Huhnerberg",2,5.61726436052053,22.27,1.52,14.6513157894737,38.8312289044898,29.8467879892703,-46.49
"4_2025_Bulk",4,2025,"Bulk","Bolsdorfer",50,100,1.52503511366667,0.152914272,10.1185034104347,100,100,-92.88
"4_2025_MAOM",4,2025,"MAOM","Bolsdorfer",50,98.7654320987653,1.44,0.1,14.4,93.2583262822551,64.5887599679154,NA
"4_2025_fPOM",4,2025,"fPOM","Bolsdorfer",50,0.448933782267026,21.38476563,1.256199718,17.0233803778007,6.29516240717078,3.68801736625677,-66.33
"4_2025_oPOM",4,2025,"oPOM","Bolsdorfer",50,0.785634118967695,29.85,1.91,15.6282722513089,15.3774678635442,9.81308773603747,-66.2
"5_2025_Bulk",5,2025,"Bulk","Huhnerberg",4,100,1.982048652,0.209305415333333,13.0914265177228,100,100,-80.47
"5_2025_MAOM",5,2025,"MAOM","Huhnerberg",4,94.5035846187268,1.32,0.1,13.2,62.9372702687418,45.1510461247375,NA
"5_2025_fPOM",5,2025,"fPOM","Huhnerberg",4,1.20573538996311,19.28105164,1.199260235,16.0774543149928,11.7292006402547,6.90851932718578,-59.86
"5_2025_oPOM",5,2025,"oPOM","Huhnerberg",4,4.29067999131012,24.8,1.62,15.3086419753086,53.6863026430348,33.2093728910578,-59.73
"6_2025_Bulk",6,2025,"Bulk","Lime",2,100,2.455962823,0.470408161333333,5.34560732092079,100,100,-66.1
"6_2025_MAOM",6,2025,"MAOM","Lime",2,97.6636031447236,1.56,0.12,13,62.0348237680831,24.913752227743,NA
"6_2025_fPOM",6,2025,"fPOM","Lime",2,1.78274831137195,10.20723343,0.655251801,15.5775740172288,7.40928485997358,2.48326695362844,-50.66
"6_2025_oPOM",6,2025,"oPOM","Lime",2,0.553648543904455,26.51,1.77,14.9774011299435,5.97615841797582,2.08320774013205,-24.13
"7_2025_Bulk",7,2025,"Bulk","Huhnerberg",8,100,2.22225751466667,0.571799775333333,6.24295913194713,100,100,NA
"7_2025_MAOM",7,2025,"MAOM","Huhnerberg",8,94.2857142857144,1.32,0.1,13.2,56.0048248394882,16.489288445549,NA
"7_2025_fPOM",7,2025,"fPOM","Huhnerberg",8,0.497354497354467,17.69569206,1.035994768,17.0808701033903,3.96040151591561,0.901113780256605,-102.6
"7_2025_oPOM",7,2025,"oPOM","Huhnerberg",8,5.21693121693117,16.4,0.99,16.5656565656566,38.5003409339375,9.03246578183952,-52.78
"8_2025_Bulk",8,2025,"Bulk","Huhnerberg",12,100,2.05554005766667,0.256234070333333,8.15634065019868,100,100,-86.27
"8_2025_MAOM",8,2025,"MAOM","Huhnerberg",12,95.1454211266083,1.22,0.1,12.2,56.4705189478169,37.1322287480483,NA
"8_2025_fPOM",8,2025,"fPOM","Huhnerberg",12,0.702778678776059,15.37314892,0.949081898,16.1979160622448,5.25600133469994,2.60306727149526,-60.87
"8_2025_oPOM",8,2025,"oPOM","Huhnerberg",12,4.15180019461563,15.25,0.99,15.4040404040404,30.8021012442637,16.0411228191569,-48.23
"9_2025_Bulk",9,2025,"Bulk","Huhnerberg",50,100,1.93755045233333,0.840417438666667,2.32654949283326,100,100,-72.8
"9_2025_MAOM",9,2025,"MAOM","Huhnerberg",50,94.4967023461996,0.8,0.06,13.3333333333333,39.0169772280872,6.74641181859243,NA
"9_2025_fPOM",9,2025,"fPOM","Huhnerberg",50,2.41107146718563,9.190379143,0.62626487,14.6749076680606,11.436430415332,1.7966897038135,-61.7
"9_2025_oPOM",9,2025,"oPOM","Huhnerberg",50,3.09222618661478,32.71,2.2,14.8681818181818,52.2033985965948,8.09466498142329,-52.85
"10_2025_Bulk",10,2025,"Bulk","Lime",2,100,2.120475061,0.58295738,3.64571770639638,100,100,-64.43
"10_2025_MAOM",10,2025,"MAOM","Lime",2,92.8181436371273,0.86,0.07,12.2857142857143,37.6442076570734,11.1453603256535,NA
"10_2025_fPOM",10,2025,"fPOM","Lime",2,1.85846283074331,10.65277767,0.721172094,14.7714779296493,9.33648865199612,2.29909008316923,-60.36
"10_2025_oPOM",10,2025,"oPOM","Lime",2,5.32339353212941,17.22,1.15,14.9739130434783,43.2303299903174,10.5014582059992,-68.5
"11_2025_Bulk",11,2025,"Bulk","Control",0,100,2.32016281866667,0.395626186666667,8.23034691127749,100,100,-68.07
"11_2025_MAOM",11,2025,"MAOM","Control",0,96.0655737704918,1.31,0.1,13.1,54.2401165240914,24.2819047393927,NA
