"Date","Tmt","App_rate","mean_BD","se_BD"
2025-10-31,"Bolsdorfer","50",1.25223333333333,0.0300701587033465
2025-10-31,"Control","0",1.26185,0.0207274174303827
2025-10-31,"Eifelgold","50",1.24293333333333,0.0374870014508734
2025-10-31,"Huhnerberg","12",1.2708,NA
2025-10-31,"Huhnerberg","2",1.1923,NA
2025-10-31,"Huhnerberg","20",1.25355,NA
2025-10-31,"Huhnerberg","30",1.23505,NA
2025-10-31,"Huhnerberg","4",1.27705,NA
2025-10-31,"Huhnerberg","50",1.255,0.0319387825900321
2025-10-31,"Huhnerberg","8",1.3161,NA
2025-10-31,"Lime","2",1.25575,0.0258019540603679
2026-02-28,"Bolsdorfer","50",1.5527,0.0439349803687221
2026-02-28,"Control","0",1.53856666666667,0.0344879971068841
2026-02-28,"Eifelgold","50",1.52051666666667,0.0640854399306981
2026-02-28,"Huhnerberg","12",1.68235,NA
2026-02-28,"Huhnerberg","2",1.3137,NA
2026-02-28,"Huhnerberg","20",1.49745,NA
2026-02-28,"Huhnerberg","30",1.451,NA
2026-02-28,"Huhnerberg","4",1.5326,NA
2026-02-28,"Huhnerberg","50",1.47036666666667,0.0196474199606745
2026-02-28,"Huhnerberg","8",1.68235,NA
2026-02-28,"Lime","2",1.5026,0.0710124167546306
